id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso
0,audio_0.wav,0.575997531414032,0.4477725923061371,0.7022955417633057,0.23243804275989532,0.12629801034927368,-0.21533454954624176,0.8326556,0.90045,0.6744784,0.5238682,0.041068614,0.17273252,0.79951704,0.46455547,0.43400192,0.19256185
1,audio_1.wav,0.575997531414032,0.4477725923061371,0.7370124459266663,0.19030483067035675,0.16101491451263428,-0.25746776163578033,0.4698127,0.44823575,0.13752294,0.46979308,0.32321113,0.20161003,0.7737711,0.4773104,0.5994029,0.39114594
2,audio_2.wav,0.575997531414032,0.4477725923061371,0.7471102476119995,0.22184966504573822,0.17111271619796753,-0.22592292726039886,0.19747233,0.5537149,0.40011716,0.7899329,0.56429935,0.16620503,0.7824541,0.4426452,0.71927994,0.559743
3,audio_3.wav,0.575997531414032,0.4477725923061371,0.6263777017593384,0.3387669026851654,0.050380170345306396,-0.10900568962097168,0.8510073,0.71184456,0.004279375,0.11585617,0.48166955,0.2470495,0.7005706,0.46373776,0.14941873,0.08448781
4,audio_4.wav,0.575997531414032,0.4477725923061371,0.6042565703392029,0.39471930265426636,0.0282590389251709,-0.05305328965187073,0.58773005,0.12365812,0.28400773,0.030181766,0.38862985,0.2195698,0.7011522,0.45706135,0.091231346,0.05643538
5,audio_5.wav,0.575997531414032,0.4477725923061371,0.7039122581481934,0.23092016577720642,0.12791472673416138,-0.21685242652893066,0.4723311,0.22873265,0.38273257,0.36256868,0.46570563,0.2076309,0.7784232,0.4815315,0.43507177,0.21021831
6,audio_6.wav,0.575997531414032,0.4477725923061371,0.7171000242233276,0.2313634604215622,0.14110249280929565,-0.2164091318845749,0.005422652,0.9820491,0.687589,0.8346044,0.095917165,0.16500178,0.8048099,0.45982027,0.51375747,0.24450864
7,audio_7.wav,0.575997531414032,0.4477725923061371,0.6271863579750061,0.33988308906555176,0.05118882656097412,-0.10788950324058533,0.31285793,0.4877032,0.5426856,0.14872801,0.23056942,0.23565704,0.7148855,0.46125984,0.14825454,0.07901026
8,audio_8.wav,0.575997531414032,0.4477725923061371,0.7138842940330505,0.2300582379102707,0.13788676261901855,-0.2177143543958664,0.6611287,0.6920913,0.97919965,0.42395717,0.44221526,0.1864946,0.7889467,0.47223234,0.48825127,0.2530119
9,audio_9.wav,0.575997531414032,0.4477725923061371,0.7480413913726807,0.22309888899326324,0.17204385995864868,-0.22467370331287384,0.7553653,0.49019533,0.3315711,0.852459,0.63595694,0.18723732,0.7760722,0.45404074,0.73355657,0.59091413
10,audio_10.wav,0.575997531414032,0.4477725923061371,0.6900834441184998,0.28315019607543945,0.11408591270446777,-0.16462239623069763,0.8332382,0.5842265,0.17779326,0.49366558,0.07953447,0.18250562,0.79206574,0.4672024,0.36674872,0.14814329
11,audio_11.wav,0.575997531414032,0.4477725923061371,0.7257323265075684,0.22418512403964996,0.14973479509353638,-0.22358746826648712,0.30833364,0.6542097,0.33308256,0.5826462,0.014629543,0.18701172,0.7908584,0.4745874,0.5496107,0.29987738
12,audio_12.wav,0.575997531414032,0.4477725923061371,0.6902103424072266,0.28233784437179565,0.11421281099319458,-0.16543474793434143,0.123563826,0.27528,0.14635211,0.34460717,0.69421065,0.1920375,0.78409797,0.47113195,0.37045655,0.16084437
13,audio_13.wav,0.575997531414032,0.4477725923061371,0.7473468780517578,0.22366611659526825,0.17134934663772583,-0.22410647571086884,0.021024346,0.5350295,0.81367517,0.9448723,0.9131185,0.16485791,0.78055054,0.43787774,0.7322333,0.57751465
14,audio_14.wav,0.575997531414032,0.4477725923061371,0.7475942373275757,0.2223941832780838,0.1715967059135437,-0.22537840902805328,0.6702743,0.24389243,0.44651008,0.7107992,0.57479054,0.19733176,0.76750785,0.45169774,0.7408725,0.63954234
15,audio_15.wav,0.575997531414032,0.4477725923061371,0.7474722266197205,0.2195284366607666,0.17147469520568848,-0.22824415564537048,0.120803416,0.35287917,0.4484232,0.69113815,0.47850138,0.17596829,0.77824473,0.4489335,0.70758516,0.5552798
16,audio_16.wav,0.575997531414032,0.4477725923061371,0.6864698529243469,0.28524264693260193,0.11047232151031494,-0.16252994537353516,0.8054347,0.38461214,0.6504777,0.41758877,0.03166592,0.1916426,0.7862123,0.46825993,0.3493702,0.14146635
17,audio_17.wav,0.575997531414032,0.4477725923061371,0.7439553737640381,0.15502487123012543,0.1679578423500061,-0.29274772107601166,0.269543,0.59776115,0.043899834,0.9296175,0.4093632,0.17876796,0.78528047,0.46182746,0.64906055,0.4308592
18,audio_18.wav,0.575997531414032,0.4477725923061371,0.7216469049453735,0.227628692984581,0.14564937353134155,-0.2201438993215561,0.9014971,0.88198704,0.92683744,0.587245,0.27060276,0.17296314,0.7965235,0.4642262,0.5300423,0.28041157
19,audio_19.wav,0.575997531414032,0.4477725923061371,0.7471574544906616,0.22582925856113434,0.17115992307662964,-0.22194333374500275,0.2629183,0.56991065,0.97955513,0.7730972,0.8776389,0.1845948,0.7682858,0.43454838,0.7525871,0.66866934
20,audio_20.wav,0.575997531414032,0.4477725923061371,0.600658118724823,0.40389585494995117,0.024660587310791016,-0.04387673735618591,0.4000522,0.07286078,0.86606115,0.024154007,0.24398053,0.21855143,0.6975037,0.4577354,0.08400074,0.05328349
21,audio_21.wav,0.575997531414032,0.4477725923061371,0.7470385432243347,0.22186097502708435,0.17104101181030273,-0.22591161727905273,0.93343645,0.8177609,0.7411288,0.7382967,0.4619559,0.17193377,0.7785653,0.44470686,0.7169176,0.5702632
