,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive_s_h,p_bias,p_output_db,p_hpf_freq,p_hpf_reso,p_hat_drive_s_h,p_hat_bias,p_hat_output_db,p_hat_hpf_freq,p_hat_hpf_reso,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
502,502,audio_502.wav,0.575997531414032,0.4477725923061371,0.6978455185890198,0.2346144169569015,0.1218479871749877,-0.2131581753492355,0.0058827996,0.89804894,0.4342987,0.3933108,0.6855003,0.22216758,0.76399827,0.4856662,0.40675375,0.20316574,-1,3.737245,4.942901,#64207f,4.200477,1.3363035,#7ce87f,6.1488867,9.109126,#9f327f,6.778484,9.426939,#79167f,4.3542604,8.441084,#761b7f
503,503,audio_503.wav,0.575997531414032,0.4477725923061371,0.6540724039077759,0.3215591609477997,0.0780748724937439,-0.1262134313583374,0.853543,0.81887025,0.487944,0.21030033,0.17262137,0.18322733,0.76017314,0.4515829,0.2016311,0.08879631,-1,2.4526536,6.095635,#45547f,5.8923492,0.8375419,#acd57f,4.4151883,8.847858,#5e2a7f,5.173911,10.1794615,#4d357f,2.8053389,9.103695,#4e367f
504,504,audio_504.wav,0.575997531414032,0.4477725923061371,0.7471531629562378,0.2250512540340423,0.1711556315422058,-0.2227213382720947,0.18156296,0.7536011,0.038594067,0.8295057,0.3338377,0.1782031,0.7730697,0.44177634,0.74065423,0.62777454,-1,9.18075,8.149889,#e5b27f,1.0075697,-3.679161,#202f7f,7.3647738,15.137015,#cce57f,10.650915,13.911143,#e1cd7f,8.588937,12.886926,#e3cf7f
505,505,audio_505.wav,0.575997531414032,0.4477725923061371,0.736923336982727,0.1966349780559539,0.160925805568695,-0.2511376142501831,0.7550106,0.45187086,0.41145575,0.988301,0.46577197,0.17330651,0.79830164,0.46530992,0.6126161,0.34567815,-1,8.907478,8.65154,#dec87f,1.3080056,-4.105411,#281f7f,6.960285,15.106577,#bde57f,10.148981,14.181477,#d4d87f,8.130886,13.163627,#d7db7f
506,506,audio_506.wav,0.575997531414032,0.4477725923061371,0.7454337477684021,0.2251288443803787,0.1694362163543701,-0.2226437479257583,0.8910442,0.23704535,0.652953,0.6522225,0.7696538,0.15888713,0.7701341,0.42303392,0.72657955,0.6339247,-1,5.88184,5.526645,#973b7f,2.4873288,0.35187745,#4ac47f,7.2465253,10.671959,#c8607f,8.673929,10.184769,#ac357f,6.409364,9.028924,#ab337f
507,507,audio_507.wav,0.575997531414032,0.4477725923061371,0.7314929962158203,0.2206470370292663,0.1554954648017883,-0.2271255552768707,0.5985923,0.07898474,0.37013727,0.5349853,0.34037095,0.17362568,0.7957816,0.46584588,0.5801927,0.32550114,-1,8.201925,8.754732,#cecd7f,2.1480975,-3.671981,#412f7f,6.0731916,14.548477,#9cd47f,9.40631,14.0871525,#c0d47f,7.341889,12.968643,#c3d37f
508,508,audio_508.wav,0.575997531414032,0.4477725923061371,0.7467688322067261,0.225446730852127,0.1707713007926941,-0.22232586145401,0.8324776,0.89218444,0.5113223,0.715096,0.59956324,0.17985268,0.76807445,0.43712285,0.7418754,0.65357715,-1,7.495432,6.2338505,#bd5b7f,1.3453261,-1.089849,#2a8e7f,7.8793926,12.399576,#e0947f,9.808796,11.400685,#cb677f,7.689908,10.140392,#cc607f
509,509,audio_509.wav,0.575997531414032,0.4477725923061371,0.6926718354225159,0.2383576482534408,0.1166743040084838,-0.2094149440526962,0.9197514,0.6814159,0.19019073,0.33003896,0.3197431,0.19045995,0.78649145,0.47170866,0.3844208,0.16634952,-1,3.8759634,5.8779593,#674b7f,4.4811196,0.62649834,#84ce7f,5.6376247,9.731821,#8b447f,6.487165,9.962176,#712c7f,4.2209888,9.091424,#72357f
510,510,audio_510.wav,0.575997531414032,0.4477725923061371,0.717231035232544,0.2297940403223037,0.1412335038185119,-0.2179785519838333,0.17375922,0.84871155,0.7449903,0.47683257,0.19195443,0.16903369,0.80035156,0.4636296,0.508861,0.25378427,-1,6.869194,8.670642,#aec97f,3.0868008,-2.8230538,#5c4e7f,5.5362635,13.371818,#88b17f,8.268999,13.317893,#a1b57f,6.265103,12.270417,#a7b67f
511,511,audio_511.wav,0.575997531414032,0.4477725923061371,0.7378045916557312,0.1962960213422775,0.1618070602416992,-0.2514765709638595,0.7979567,0.1808759,0.56099325,0.9420604,0.52819914,0.16437338,0.7997109,0.45735914,0.6162055,0.35953158,-1,9.293028,9.334528,#e7e77f,1.629428,-4.8225436,#32057f,6.5204635,15.487807,#adf07f,10.129801,14.672289,#d3ec7f,8.151842,13.741503,#d8f27f
512,512,audio_512.wav,0.575997531414032,0.4477725923061371,0.7470235824584961,0.2199489474296569,0.1710260510444641,-0.2278236448764801,0.7298535,0.31433755,0.6099727,0.58911115,0.78972816,0.17923434,0.7734981,0.44685933,0.70939445,0.5800098,-1,6.962094,7.5660095,#b0977f,2.1698353,-2.039605,#416b7f,6.542436,12.841325,#ada17f,9.051705,12.33196,#b68d7f,6.996738,11.243942,#ba8d7f
513,513,audio_513.wav,0.575997531414032,0.4477725923061371,0.6273567080497742,0.3525547981262207,0.0513591766357421,-0.0952177941799163,0.22034991,0.7395238,0.54210263,0.15155232,0.4479078,0.21249734,0.71608263,0.45286703,0.13476467,0.07398454,-1,2.2132049,7.547413,#40967f,6.4975348,-0.41356358,#bea77f,3.5444744,9.753119,#3d457f,4.7609477,11.383626,#42667f,2.3625765,10.459032,#436d7f
514,514,audio_514.wav,0.575997531414032,0.4477725923061371,0.746980607509613,0.2235003858804702,0.170983076095581,-0.2242722064256668,0.56405634,0.87455463,0.82092434,0.65833676,0.35765642,0.17414069,0.7735367,0.44067943,0.7267655,0.6084121,-1,8.506973,8.310478,#d5b97f,1.4480852,-3.379896,#2c3a7f,6.7662086,14.2786255,#b6cc7f,10.058776,13.621243,#d1c17f,7.8330197,12.533303,#cfc17f
515,515,audio_515.wav,0.575997531414032,0.4477725923061371,0.7477289438247681,0.2180239707231521,0.171731412410736,-0.2297486215829849,0.6701678,0.44450003,0.63665587,0.809839,0.2620319,0.18342115,0.77670497,0.4531422,0.71399665,0.5652986,-1,9.131717,8.667824,#e4c97f,1.1705313,-4.1964893,#251c7f,7.0703526,15.190826,#c1e77f,10.670758,14.152029,#e2d77f,8.495932,13.058992,#e0d67f
516,516,audio_516.wav,0.575997531414032,0.4477725923061371,0.7305425405502319,0.2226575314998626,0.1545450091361999,-0.2251150608062744,0.49016756,0.8030364,0.84492993,0.9843351,0.2518584,0.18072425,0.7990175,0.4714604,0.5768986,0.30353338,-1,8.962356,9.608259,#e0f47f,1.8444657,-4.691618,#38097f,6.352636,15.629945,#a6f47f,9.925586,14.907192,#cef57f,8.10125,13.903989,#d6f97f
517,517,audio_517.wav,0.575997531414032,0.4477725923061371,0.7446221709251404,0.1958960145711898,0.1686246395111084,-0.2518765777349472,0.10126102,0.7348018,0.52222854,0.6524016,0.6323854,0.15191999,0.7819512,0.4314525,0.6839693,0.5224684,-1,6.1704407,5.4704027,#9d387f,2.2791703,0.31961444,#44c27f,7.476507,10.833932,#d0657f,8.945165,10.3116045,#b33a7f,6.678817,9.088764,#b2357f
518,518,audio_518.wav,0.575997531414032,0.4477725923061371,0.718015730381012,0.22950080037117,0.1420181989669799,-0.218271791934967,0.79687953,0.22117662,0.40722078,0.4592418,0.49441367,0.16554971,0.7992933,0.46211475,0.5135075,0.2659504,-1,5.751149,7.1012597,#94827f,3.2536552,-1.0560589,#60907f,6.0780287,11.669518,#9c7e7f,8.037414,11.565157,#9b6d7f,5.765918,10.449771,#9a6c7f
519,519,audio_519.wav,0.575997531414032,0.4477725923061371,0.7474111318588257,0.2260433584451675,0.1714136004447937,-0.2217292338609695,0.7580642,0.8751712,0.92999685,0.7744339,0.39925396,0.18413842,0.77007496,0.44168645,0.7468103,0.64816797,-1,9.579412,8.142824,#eeb17f,0.6813041,-3.847997,#16297f,7.6415186,14.862525,#d7dd7f,10.862418,13.7851305,#e7c87f,8.73306,12.747005,#e7ca7f
