id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_delay_ms,p_r_delay,p_feedback,p_fb_tone_lo_hi,p_fb_mix,p_hat_l_delay_ms,p_hat_r_delay,p_hat_feedback,p_hat_fb_tone_lo_hi,p_hat_fb_mix
285,audio_285.wav,0.575997531414032,0.4477725923061371,0.5760855078697205,0.45087385177612305,8.797645568847656e-05,0.003101259469985962,0.9225875,0.5542747,0.77116686,0.22042286,0.66233104,0.8758773,0.9224065,0.91380477,0.651749,0.08835654
286,audio_286.wav,0.575997531414032,0.4477725923061371,0.576258659362793,0.45488688349723816,0.00026112794876098633,0.007114291191101074,0.4795046,0.28131443,0.8535793,0.4316488,0.986029,0.875525,0.93665206,0.92009366,0.6801239,0.12355297
287,audio_287.wav,0.575997531414032,0.4477725923061371,0.576019823551178,0.44825857877731323,2.2292137145996094e-05,0.00048598647117614746,0.18791318,0.48075324,0.9185417,0.5817897,0.31661588,0.8698535,0.884354,0.89856815,0.595785,0.05229796
288,audio_288.wav,0.575997531414032,0.4477725923061371,0.5759298801422119,0.44933485984802246,-6.765127182006836e-05,0.001562267541885376,0.90538037,0.35971373,0.42747998,0.6817644,0.3745454,0.84011734,0.75576425,0.85255116,0.4901297,0.02437713
289,audio_289.wav,0.575997531414032,0.4477725923061371,0.575984537601471,0.4477105736732483,-1.2993812561035156e-05,-6.201863288879395e-05,0.106166124,0.57151926,0.8862866,0.8275866,0.6422867,0.76659733,0.5067607,0.7609011,0.38302234,0.01538882
290,audio_290.wav,0.575997531414032,0.4477725923061371,0.5759497880935669,0.44668054580688477,-4.774332046508789e-05,-0.0010920464992523193,0.37911332,0.41390592,0.49723768,0.27776843,0.48194945,0.8622561,0.84936696,0.8844379,0.5587859,0.03921136
291,audio_291.wav,0.575997531414032,0.4477725923061371,0.5759512782096863,0.44668126106262207,-4.6253204345703125e-05,-0.0010913312435150146,0.8680822,0.9823494,0.49974734,0.75617695,0.22206503,0.86187166,0.85313755,0.8856995,0.56217533,0.039986443
292,audio_292.wav,0.575997531414032,0.4477725923061371,0.576490044593811,0.45503607392311096,0.0004925131797790527,0.007263481616973877,0.7037342,0.6716958,0.96381146,0.8798102,0.9725071,0.87376,0.9385642,0.9194815,0.6863681,0.13553832
293,audio_293.wav,0.575997531414032,0.4477725923061371,0.5760239362716675,0.44867631793022156,2.6404857635498047e-05,0.0009037256240844727,0.06296867,0.8011327,0.78598446,0.5856564,0.46788228,0.71400714,0.4106717,0.7046525,0.35723445,0.017716615
294,audio_294.wav,0.575997531414032,0.4477725923061371,0.5760014057159424,0.4480692148208618,3.874301910400391e-06,0.00029662251472473145,0.8287163,0.16576743,0.25783592,0.85730344,0.05025041,0.672551,0.35812646,0.65917695,0.3482933,0.024123227
295,audio_295.wav,0.575997531414032,0.4477725923061371,0.5768803358078003,0.4479132890701294,0.0008828043937683105,0.00014069676399230957,0.65607685,0.6485006,0.9403842,0.42374587,0.8677944,0.8712077,0.9444727,0.9214896,0.7015991,0.1694574
296,audio_296.wav,0.575997531414032,0.4477725923061371,0.5760666131973267,0.45087599754333496,6.908178329467773e-05,0.003103405237197876,0.34519035,0.31035668,0.892303,0.7264765,0.9033777,0.87534016,0.9215637,0.91304874,0.6504805,0.08903045
297,audio_297.wav,0.575997531414032,0.4477725923061371,0.5759187340736389,0.44862768054008484,-7.87973403930664e-05,0.0008550882339477539,0.95415545,0.26489735,0.57235986,0.9664548,0.6235455,0.8121124,0.640474,0.8124966,0.43286076,0.018255398
298,audio_298.wav,0.575997531414032,0.4477725923061371,0.5759233236312866,0.448651522397995,-7.420778274536133e-05,0.0008789300918579102,0.13665223,0.26223725,0.089258075,0.17155349,0.9375259,0.68335336,0.37035063,0.671337,0.3492268,0.021742612
299,audio_299.wav,0.575997531414032,0.4477725923061371,0.5762590765953064,0.4563383460044861,0.00026154518127441406,0.008565753698348999,0.75318396,0.40190518,0.8316953,0.5648296,0.9886307,0.876251,0.9314327,0.91765606,0.6693297,0.107551485
300,audio_300.wav,0.575997531414032,0.4477725923061371,0.5760238766670227,0.45057517290115356,2.6345252990722656e-05,0.0028025805950164795,0.11013293,0.29043818,0.6661433,0.6778729,0.19557828,0.7156923,0.41243055,0.7064648,0.357533,0.017384011
301,audio_301.wav,0.575997531414032,0.4477725923061371,0.5760146379470825,0.4470677077770233,1.710653305053711e-05,-0.0007048845291137695,0.4271586,0.65085113,0.18342423,0.7314059,0.3233567,0.77716184,0.5267523,0.76975185,0.3891364,0.015119164
