,chorus_depth,chorus_centre_delay_ms,id,p_depth_ms,p_mix,p_depthmod,p_feedback
0,0.2,3,0,0.9776811599731445,0.1601143479347229,0.4170394241809845,0.05774493142962456
1,0.5,2,1,0.9431325197219849,0.009999999776482582,0.5542436838150024,0.24322187900543213
2,0.5,4,2,0.9709053039550781,0.021497663110494614,0.4764019846916199,0.09066829830408096
