,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
575,575,audio_575.wav,0.6104051470756531,0.4509032666683197,0.7940592169761658,0.3353505134582519,0.1836540699005127,-0.1155527532100677,0.0013744831,0.6729134,0.6642477,0.25059888,0.352677,0.87045753,-1,-4.110587,13.736638,#09ea7f,-4.5353246,9.935064,#02af7f,-6.03329,11.851309,#03f37f,-5.801223,11.828558,#02cc7f,-4.33455,11.614022,#00b77f
576,576,audio_576.wav,0.6104051470756531,0.4509032666683197,0.8690342307090759,0.0635465905070304,0.2586290836334228,-0.3873566761612892,0.78141934,0.028049588,0.9065043,0.66781944,0.6455221,0.5887356,-1,11.457049,14.218484,#faf07f,6.8130665,15.098476,#b8f27f,8.017261,12.184307,#bbf87f,9.45473,14.273026,#d6f07f,10.622445,15.992777,#e9f27f
577,577,audio_577.wav,0.6104051470756531,0.4509032666683197,0.8684766292572021,0.069516085088253,0.2580714821815491,-0.3813871815800667,0.95469475,0.63211113,0.20600605,0.65067697,0.6520218,0.60483456,-1,9.296994,0.40386182,#d93e7f,10.107401,3.112753,#ed567f,12.080407,1.3307427,#f04c7f,11.9240885,2.2576218,#f8407f,11.505774,3.6001425,#f74b7f
578,578,audio_578.wav,0.6104051470756531,0.4509032666683197,0.7966025471687317,0.3355147838592529,0.1861974000930786,-0.1153884828090667,0.25769138,0.58830565,0.7846249,0.25556344,0.3566435,0.8715532,-1,-2.0709252,-1.0674967,#282b7f,-0.66384727,-2.2285187,#40117f,0.1605718,-0.86174923,#54297f,0.046738673,-0.82699215,#53127f,0.4562099,-0.6237187,#4b137f
579,579,audio_579.wav,0.6104051470756531,0.4509032666683197,0.8687413930892944,0.0649155601859092,0.2583362460136413,-0.3859877064824104,0.5648929,0.0003696084,0.57237166,0.65720856,0.64987457,0.598739,-1,9.656117,2.1352081,#de547f,10.979842,4.583022,#fb697f,12.877857,2.7888541,#fb637f,11.998694,3.926576,#f9587f,11.777981,5.3678794,#fb637f
580,580,audio_580.wav,0.6104051470756531,0.4509032666683197,0.7941700220108032,0.3399734497070312,0.1837648749351501,-0.1109298169612884,0.05316931,0.8552826,0.84421915,0.25109687,0.35469177,0.87034255,-1,-4.4841375,11.576334,#03ce7f,-3.904524,8.053194,#0c967f,-6.160753,9.81149,#01d37f,-5.6663547,10.045839,#04b27f,-3.8981578,9.827547,#079f7f
581,581,audio_581.wav,0.6104051470756531,0.4509032666683197,0.7986767888069153,0.3368212282657623,0.1882716417312622,-0.1140820384025573,0.089864194,0.19470274,0.72508204,0.26088658,0.3667895,0.8687512,-1,-4.5920706,10.836564,#01c57f,-3.7947152,7.292433,#0e8c7f,-6.0786886,9.054007,#02c77f,-5.4482546,9.254722,#07a67f,-3.63547,9.122035,#0b967f
582,582,audio_582.wav,0.6104051470756531,0.4509032666683197,0.8680802583694458,0.0716939494013786,0.2576751112937927,-0.379209317266941,0.87589467,0.69285697,0.9448,0.6427903,0.6504922,0.6136188,-1,9.8698435,7.171654,#e2957f,9.611193,8.828701,#e5a07f,12.398438,7.0061955,#f4a67f,10.978511,8.004111,#eb947f,10.477854,9.242722,#e7977f
583,583,audio_583.wav,0.6104051470756531,0.4509032666683197,0.7941091060638428,0.3353689908981323,0.1837039589881897,-0.1155342757701873,0.0040798187,0.07865852,0.8912587,0.25207996,0.35559848,0.8697791,-1,-4.0238853,13.632543,#0ae97f,-4.506361,9.859265,#03ae7f,-6.1983967,11.769306,#01f27f,-5.749498,11.799838,#03cc7f,-4.302317,11.579273,#01b77f
584,584,audio_584.wav,0.6104051470756531,0.4509032666683197,0.8690692782402039,0.0581160821020603,0.2586641311645508,-0.3927871845662594,0.76098776,0.32527977,0.022796452,0.6685437,0.6454337,0.5881295,-1,11.163145,14.880569,#f6f97f,6.5598526,15.816093,#b4fb7f,7.2599363,12.161809,#b1f87f,9.65069,14.8513565,#d8f87f,10.544046,16.585089,#e8fa7f
