,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_freq_hz,p_fine_hz,p_feedback,p_hat_freq_hz,p_hat_fine_hz,p_hat_feedback,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
0,0,audio_0.wav,0.6104051470756531,0.4509032666683197,0.8690193295478821,0.0583333149552345,0.258614182472229,-0.3925699517130852,0.7762935,0.81418324,0.83006424,0.67013294,0.6445237,0.5867382,-1,11.4752445,13.795265,#fbeb7f,7.17981,14.761276,#beed7f,8.504801,12.080399,#c1f77f,9.507743,13.785717,#d6e97f,10.661478,15.49506,#eaeb7f
1,1,audio_1.wav,0.6104051470756531,0.4509032666683197,0.8687425851821899,0.0637624189257621,0.2583374381065368,-0.3871408477425575,0.95674455,0.26132733,0.029945612,0.65802586,0.64972967,0.5975976,-1,9.008212,0.68431073,#d4427f,9.968044,3.2080243,#eb577f,11.897942,1.6262778,#ee517f,11.761102,2.4562104,#f6437f,11.261615,3.8588636,#f34f7f
2,2,audio_2.wav,0.6104051470756531,0.4509032666683197,0.7986931204795837,0.3357086181640625,0.1882879734039306,-0.1151946485042572,0.09586769,0.25666523,0.16572046,0.2612882,0.3678415,0.8680563,-1,-4.2664165,10.18122,#06bc7f,-3.32338,7.085933,#168a7f,-5.6870856,8.814282,#07c37f,-5.5425224,8.731347,#069f7f,-3.9892771,8.714202,#05907f
3,3,audio_3.wav,0.6104051470756531,0.4509032666683197,0.8287091851234436,0.3336119651794433,0.2183040380477905,-0.1172913014888763,0.34056282,0.6760055,0.47269875,0.39577702,0.50439584,0.8067019,-1,1.8407738,-4.0199103,#65057f,3.8536484,-3.5500062,#89007f,4.6074386,-3.0335064,#8e077f,4.6022987,-1.9180923,#92027f,4.7257648,-1.8887231,#8d027f
4,4,audio_4.wav,0.6104051470756531,0.4509032666683197,0.8026668429374695,0.3350365459918976,0.1922616958618164,-0.1158667206764221,0.20013338,0.11482364,0.10133648,0.2720794,0.37939546,0.8640576,-1,-3.6778812,3.1062164,#10617f,-2.2907767,1.4003086,#26407f,-2.5288615,3.0331862,#31677f,-2.6350965,2.921654,#2e497f,-1.2283614,2.847136,#31417f
5,5,audio_5.wav,0.6104051470756531,0.4509032666683197,0.7965664863586426,0.3350762128829956,0.1861613392829895,-0.1158270537853241,0.25690508,0.60517186,0.97170204,0.25734898,0.3591798,0.87129945,-1,-2.042676,-1.0997888,#292a7f,-0.6031104,-2.3221767,#41107f,0.15941927,-0.897416,#54287f,0.13323337,-0.911271,#55117f,0.46719098,-0.6551035,#4b127f
6,6,audio_6.wav,0.6104051470756531,0.4509032666683197,0.8689420819282532,0.0651751160621643,0.2585369348526001,-0.3857281506061554,0.9286166,0.6240222,0.2420224,0.66012233,0.64895564,0.59642315,-1,9.3167095,2.1379583,#d9547f,10.757009,4.768787,#f76c7f,12.692734,3.0642848,#f8677f,11.617783,4.038453,#f45a7f,11.453686,5.4745407,#f6657f
7,7,audio_7.wav,0.6104051470756531,0.4509032666683197,0.8690001964569092,0.0606029778718948,0.2585950493812561,-0.3903002887964248,0.8167154,0.23695344,0.5706101,0.66986066,0.6446986,0.5868344,-1,11.024595,12.463052,#f4da7f,7.953144,13.78855,#cae17f,9.716126,11.451886,#d1ed7f,9.820103,12.620821,#dbd87f,10.687983,14.239479,#eada7f
8,8,audio_8.wav,0.6104051470756531,0.4509032666683197,0.7986807227134705,0.3359960615634918,0.1882755756378173,-0.1149072051048278,0.048790634,0.002112329,0.3067407,0.26384407,0.3701247,0.86836326,-1,-4.3475947,12.53414,#05db7f,-4.027303,8.708643,#0a9f7f,-6.172388,10.671804,#01e07f,-5.850317,10.715342,#02bc7f,-4.245481,10.498228,#01a87f
9,9,audio_9.wav,0.6104051470756531,0.4509032666683197,0.8006760478019714,0.3354941606521606,0.1902709007263183,-0.115409106016159,0.25254017,0.44011468,0.110055745,0.26928076,0.3742638,0.86765146,-1,-2.2615952,0.061044797,#26397f,-0.7431854,-1.4038619,#3f1c7f,-0.3505952,0.15844616,#4d397f,-0.24224448,-0.0061702807,#4f1e7f,0.29478878,0.25265265,#481e7f
10,10,audio_10.wav,0.6104051470756531,0.4509032666683197,0.8138810396194458,0.338371992111206,0.2034758925437927,-0.1125312745571136,0.16522133,0.43589878,0.07208294,0.31875533,0.42950505,0.8494,-1,-3.996704,5.34837,#0b7e7f,-2.7373886,3.2680507,#1f587f,-3.6760585,4.7532005,#22827f,-3.702862,4.6096916,#1f627f,-2.4105003,4.803247,#1e5c7f
11,11,audio_11.wav,0.6104051470756531,0.4509032666683197,0.8065669536590576,0.3374768197536468,0.1961618065834045,-0.1134264469146728,0.27030218,0.44451582,0.30323714,0.2846671,0.39105928,0.86284477,-1,-1.7432766,-1.1416196,#2e2a7f,-0.20112224,-2.333341,#48107f,0.40024525,-0.81503624,#572a7f,0.37047538,-0.77405673,#58137f,0.67946017,-0.6645389,#4e127f
12,12,audio_12.wav,0.6104051470756531,0.4509032666683197,0.8025355935096741,0.3357553482055664,0.192130446434021,-0.1151479184627533,0.12146145,0.3854469,0.2224099,0.2736321,0.38147917,0.8644906,-1,-4.353124,8.795326,#05aa7f,-3.0719247,5.696082,#1a787f,-5.1659193,7.537011,#0eae7f,-5.0238447,7.553378,#0d8d7f,-3.5689187,7.433787,#0c7f7f
13,13,audio_13.wav,0.6104051470756531,0.4509032666683197,0.791936993598938,0.3347659111022949,0.1815318465232849,-0.1161373555660247,0.22784674,0.850504,0.8509249,0.24679832,0.346427,0.8708112,-1,-3.1283689,1.2205014,#18487f,-1.7568642,-0.24233025,#2f2b7f,-1.480479,1.1394848,#3f497f,-1.1847497,0.65711087,#42287f,-0.5163599,1.263185,#3c2c7f
14,14,audio_14.wav,0.6104051470756531,0.4509032666683197,0.8628599643707275,0.0879231691360473,0.2524548172950744,-0.3629800975322723,0.48583055,0.29530197,0.33074272,0.5944685,0.6417015,0.66354233,-1,8.364042,-2.5103524,#ca187f,8.795017,0.36529943,#d8337f,10.934763,-1.1149406,#e1257f,11.008625,-0.49643075,#eb177f,10.443847,0.78410053,#e7257f
15,15,audio_15.wav,0.6104051470756531,0.4509032666683197,0.8687458634376526,0.0666489899158477,0.2583407163619995,-0.3842542767524719,0.9240406,0.10173994,0.64325595,0.6564919,0.64893216,0.6008877,-1,9.755664,2.5409036,#e0597f,11.1817665,4.929894,#fe6e7f,13.1752205,3.129171,#ff687f,12.021547,4.2143235,#f95c7f,11.6966715,5.8403416,#fa697f
16,16,audio_16.wav,0.6104051470756531,0.4509032666683197,0.7986003160476685,0.3352230489253998,0.1881951689720153,-0.1156802177429199,0.09959245,0.18347234,0.58828205,0.26210922,0.36788332,0.8681956,-1,-4.437701,9.847763,#04b87f,-3.5267794,6.638536,#12847f,-5.8020334,8.373469,#06bc7f,-5.129254,8.49669,#0c9b7f,-3.5774074,8.474794,#0c8d7f
17,17,audio_17.wav,0.6104051470756531,0.4509032666683197,0.8684954047203064,0.0698824673891067,0.2580902576446533,-0.3810207992792129,0.9395845,0.71448255,0.98284394,0.6496467,0.65079147,0.607955,-1,9.749826,1.7618135,#e04f7f,11.013719,4.248941,#fc657f,12.931252,2.521162,#fb5f7f,12.134917,3.6402078,#fb547f,11.832947,5.062061,#fc5f7f
18,18,audio_18.wav,0.6104051470756531,0.4509032666683197,0.8689873218536377,0.0650489181280136,0.2585821747779846,-0.3858543485403061,0.5865299,0.45888317,0.27455074,0.66227937,0.64841527,0.5939068,-1,9.106637,3.9871905,#d66c7f,10.258871,6.261066,#ef7f7f,12.718418,4.7977033,#f9837f,11.221484,5.82308,#ee747f,11.134156,7.1729584,#f17b7f
19,19,audio_19.wav,0.6104051470756531,0.4509032666683197,0.8687652349472046,0.0649416521191597,0.2583600878715515,-0.38596161454916,0.56982934,0.6356453,0.523493,0.6570017,0.6500145,0.5998215,-1,9.567576,2.3908238,#dd587f,11.0326,4.7752805,#fc6c7f,12.964077,3.0839193,#fc687f,11.8204565,4.1443534,#f65b7f,11.695693,5.6827006,#fa677f
20,20,audio_20.wav,0.6104051470756531,0.4509032666683197,0.802615761756897,0.3356869518756866,0.1922106146812439,-0.115216314792633,0.14841461,0.861167,0.041238785,0.272351,0.38078135,0.86511934,-1,-4.1346936,6.621082,#088e7f,-2.8013306,3.958358,#1e617f,-4.2667685,5.80997,#1a937f,-4.015271,5.1439514,#1b6a7f,-2.8775687,5.677952,#17677f
21,21,audio_21.wav,0.6104051470756531,0.4509032666683197,0.869038462638855,0.0611149258911609,0.2586333155632019,-0.3897883407771587,0.7100172,0.9420792,0.20692718,0.6685429,0.645321,0.5882631,-1,11.21639,14.542588,#f7f57f,6.7156277,15.522945,#b7f77f,7.41486,12.298476,#b3fa7f,9.72743,14.661089,#d9f67f,10.508975,16.504475,#e8f97f
22,22,audio_22.wav,0.6104051470756531,0.4509032666683197,0.8410364389419556,0.3263489902019501,0.2306312918663025,-0.1245542764663696,0.35432988,0.1604231,0.18412298,0.44305414,0.5543657,0.76849437,-1,2.5223086,-4.137623,#70037f,4.6005454,-3.37282,#95027f,5.308859,-3.1911838,#97047f,5.1528273,-1.9729067,#9a017f,5.508762,-1.923351,#9a017f
23,23,audio_23.wav,0.6104051470756531,0.4509032666683197,0.7965531945228577,0.3354010581970215,0.1861480474472046,-0.1155022084712982,0.23585647,0.967493,0.5348605,0.2532729,0.35488024,0.87177837,-1,-2.8301117,0.62282044,#1d417f,-1.3836356,-0.9176245,#35227f,-1.0855055,0.58684903,#44407f,-0.8632487,0.1843325,#47217f,-0.29387683,0.6672192,#3f247f
24,24,audio_24.wav,0.6104051470756531,0.4509032666683197,0.8065582513809204,0.3361192643642425,0.1961531043052673,-0.1147840023040771,0.14481235,0.16188353,0.26087272,0.28537527,0.39378476,0.86012244,-1,-4.162457,6.959176,#08937f,-2.8886547,4.36824,#1d677f,-4.4249306,6.1044564,#18987f,-4.223984,5.6400943,#18717f,-3.0709558,6.0715857,#146d7f
25,25,audio_25.wav,0.6104051470756531,0.4509032666683197,0.8690099120140076,0.0559786148369312,0.2586047649383545,-0.3949246518313885,0.808345,0.07941848,0.37649244,0.6694724,0.64478695,0.5868597,-1,10.967033,12.883143,#f3df7f,7.788701,14.149313,#c8e57f,9.161435,11.535575,#caee7f,9.8108,13.008975,#dbdd7f,10.440954,14.749179,#e7e17f
26,26,audio_26.wav,0.6104051470756531,0.4509032666683197,0.8690926432609558,0.0595593154430389,0.2586874961853027,-0.3913439512252807,0.7757286,0.73486716,0.29503244,0.6689299,0.64491695,0.58775866,-1,11.087425,14.338067,#f5f27f,6.88181,15.385264,#b9f57f,7.6837745,12.023343,#b7f67f,9.867238,14.369823,#dbf17f,10.452498,16.155346,#e7f47f
27,27,audio_27.wav,0.6104051470756531,0.4509032666683197,0.8690956234931946,0.0614076368510723,0.2586904764175415,-0.3894956298172474,0.63702035,0.60490906,0.16971266,0.66906655,0.64499086,0.5870938,-1,9.686031,8.30525,#dfa47f,9.142951,10.027198,#deb07f,11.8171215,8.166947,#edb87f,10.503306,9.192479,#e4a57f,10.491044,10.584288,#e7a97f
28,28,audio_28.wav,0.6104051470756531,0.4509032666683197,0.8026367425918579,0.3360128104686737,0.1922315955162048,-0.114890456199646,0.26567185,0.90110344,0.71326256,0.27278876,0.37772325,0.8670782,-1,-1.7891804,-1.3375459,#2d277f,-0.24327317,-2.4592965,#470e7f,0.36514392,-1.0085833,#57277f,0.46238387,-1.0269549,#590f7f,0.7414262,-0.9231311,#4f0f7f
29,29,audio_29.wav,0.6104051470756531,0.4509032666683197,0.8690323233604431,0.0600842759013175,0.25862717628479,-0.3908189907670021,0.75012094,0.50944465,0.55691457,0.66859186,0.64496285,0.5879392,-1,11.435021,15.186687,#fafd7f,6.2429504,15.816773,#affb7f,7.150637,12.329934,#b0fb7f,9.529415,15.1133375,#d7fc7f,10.839367,16.794716,#edfd7f
30,30,audio_30.wav,0.6104051470756531,0.4509032666683197,0.7986162900924683,0.3355151712894439,0.1882111430168151,-0.1153880953788757,0.10106397,0.96622866,0.07111508,0.26426342,0.37047735,0.86747074,-1,-4.2350273,9.65787,#07b57f,-3.2523599,6.583101,#17837f,-5.555785,8.298404,#09bb7f,-5.3409147,8.290712,#09987f,-3.7850723,8.116407,#09887f
31,31,audio_31.wav,0.6104051470756531,0.4509032666683197,0.8690091967582703,0.0590383037924766,0.2586040496826172,-0.391864962875843,0.78830063,0.15165919,0.3538459,0.6696261,0.644574,0.58700806,-1,11.288845,14.13854,#f8ef7f,6.964638,15.056159,#bbf17f,8.157547,11.966995,#bdf57f,9.610428,14.072418,#d8ed7f,10.53666,15.915903,#e8f17f
32,32,audio_32.wav,0.6104051470756531,0.4509032666683197,0.8628053665161133,0.084858238697052,0.2524002194404602,-0.3660450279712677,0.5105913,0.66812164,0.47735083,0.5946118,0.6482892,0.6574275,-1,9.145674,-1.2671812,#d6287f,9.659656,1.5979397,#e6437f,11.718857,-0.20777379,#eb337f,11.828917,0.62632936,#f6287f,11.22259,2.1866975,#f3387f
33,33,audio_33.wav,0.6104051470756531,0.4509032666683197,0.8006309270858765,0.3352196514606476,0.1902257800102234,-0.1156836152076721,0.23802656,0.67432356,0.44236088,0.26745835,0.37222722,0.8682567,-1,-2.8327084,0.6905071,#1d427f,-1.4133725,-0.78772414,#34247f,-1.078937,0.72628385,#44427f,-0.9129451,0.34256727,#46237f,-0.24985251,0.74684954,#40257f
34,34,audio_34.wav,0.6104051470756531,0.4509032666683197,0.8687415719032288,0.0638512596487999,0.2583364248275757,-0.3870520070195198,0.9170799,0.631688,0.7550572,0.6545957,0.6507948,0.6018733,-1,9.568925,2.7211304,#dd5c7f,10.996231,5.251479,#fb727f,13.056736,3.4806554,#fd6e7f,11.834363,4.535477,#f7617f,11.555993,6.076011,#f86d7f
35,35,audio_35.wav,0.6104051470756531,0.4509032666683197,0.8690890669822693,0.0585612095892429,0.2586839199066162,-0.3923420570790767,0.8078884,0.04178822,0.885553,0.6692822,0.6449528,0.5865201,-1,11.40525,12.835503,#f9df7f,7.450444,14.062989,#c2e47f,9.309938,11.916256,#ccf47f,9.411273,13.016502,#d5de7f,10.762438,14.748567,#ece17f
36,36,audio_36.wav,0.6104051470756531,0.4509032666683197,0.7986695766448975,0.3364661037921905,0.1882644295692443,-0.1144371628761291,0.10598755,0.82194275,0.37943196,0.2620371,0.36799368,0.8684894,-1,-4.359687,9.2750845,#05b17f,-3.2181349,6.1192913,#177d7f,-5.410476,7.918319,#0bb57f,-5.116934,7.859346,#0c927f,-3.5920835,7.81194,#0c847f
37,37,audio_37.wav,0.6104051470756531,0.4509032666683197,0.8689234852790833,0.0646737292408943,0.2585183382034302,-0.3862295374274254,0.60310423,0.33298826,0.32982737,0.66191584,0.6491046,0.5951122,-1,9.254428,4.6589293,#d8757f,10.153919,7.0348005,#ee897f,12.571759,5.4946456,#f78e7f,11.256714,6.573651,#ef7f7f,10.738831,7.9400253,#eb867f
38,38,audio_38.wav,0.6104051470756531,0.4509032666683197,0.8065645098686218,0.3360251784324646,0.1961593627929687,-0.1148780882358551,0.19069117,0.24988264,0.20309699,0.28446487,0.39357567,0.8606855,-1,-3.753593,3.3240657,#0e647f,-2.4277213,1.6601397,#24437f,-2.7220862,3.2562644,#2e6a7f,-2.805597,3.080667,#2c4c7f,-1.3629229,3.025547,#2e447f
39,39,audio_39.wav,0.6104051470756531,0.4509032666683197,0.8685580492019653,0.0694101899862289,0.2581529021263122,-0.3814930766820907,0.5505007,0.05975604,0.71987987,0.6521499,0.65042835,0.6034957,-1,9.850691,0.9751744,#e1457f,10.756077,3.491044,#f75b7f,12.699474,1.7416466,#f8527f,12.390506,2.9167137,#fe497f,11.975206,4.2084556,#ff547f
40,40,audio_40.wav,0.6104051470756531,0.4509032666683197,0.869038462638855,0.061115950345993,0.2586333155632019,-0.3897873163223266,0.7110908,0.66690093,0.6279537,0.6689041,0.64510685,0.58741,-1,11.383033,14.170839,#f9f07f,6.749266,15.170067,#b7f37f,8.095242,12.144105,#bcf87f,9.508264,14.100649,#d6ed7f,10.569965,15.918189,#e9f17f
41,41,audio_41.wav,0.6104051470756531,0.4509032666683197,0.8690174221992493,0.0588266737759113,0.2586122751235962,-0.3920765928924083,0.8463408,0.70703566,0.33292896,0.6688074,0.64529186,0.58729243,-1,9.735344,8.39368,#e0a57f,9.153084,10.168882,#deb27f,11.702153,8.332303,#ebbb7f,10.375769,9.46675,#e2a97f,10.556985,10.772765,#e8ac7f
42,42,audio_42.wav,0.6104051470756531,0.4509032666683197,0.868441641330719,0.0692332163453102,0.2580364942550659,-0.3816700503230095,0.9382541,0.9380013,0.11556953,0.65005785,0.6520218,0.60608387,-1,9.05231,1.1757534,#d5487f,10.1834955,3.844847,#ee607f,12.122843,2.1274974,#f1597f,11.6095495,3.0555513,#f34b7f,11.255556,4.4830656,#f3577f
43,43,audio_43.wav,0.6104051470756531,0.4509032666683197,0.8371167182922363,0.3278391361236572,0.2267115712165832,-0.1230641305446624,0.35158384,0.8326556,0.90045,0.4272685,0.53735757,0.7825002,-1,2.3977733,-4.2735257,#6e017f,4.494431,-3.492986,#93017f,5.198201,-3.171877,#96047f,5.121915,-1.861291,#9a037f,5.3445945,-2.01163,#97007f
44,44,audio_44.wav,0.6104051470756531,0.4509032666683197,0.8689642548561096,0.0642618760466575,0.2585591077804565,-0.3866413906216621,0.6744784,0.5238682,0.041068614,0.66941035,0.64489895,0.5868409,-1,10.755843,12.257852,#efd77f,8.241049,13.599311,#cfde7f,9.593552,11.000321,#d0e57f,9.967877,12.326556,#ddd37f,10.4714155,14.028455,#e7d87f
45,45,audio_45.wav,0.6104051470756531,0.4509032666683197,0.8643094897270203,0.0882054269313812,0.2539043426513672,-0.3626978397369385,0.4698127,0.44823575,0.13752294,0.6049501,0.6332479,0.66460556,-1,7.8887196,-3.1945648,#c30f7f,8.40588,-0.41350785,#d2287f,10.155867,-1.8892759,#d7197f,10.358442,-1.1172788,#e20e7f,10.107265,0.14467278,#e11d7f
46,46,audio_46.wav,0.6104051470756531,0.4509032666683197,0.857069194316864,0.0988995134830474,0.2466640472412109,-0.3520037531852722,0.46979308,0.32321113,0.19747233,0.55202043,0.6221318,0.7001498,-1,7.784704,-3.2869756,#c10e7f,8.282247,-0.63098687,#d0267f,10.0151205,-2.0174444,#d5177f,10.319939,-1.2042607,#e20d7f,9.908507,-0.023401042,#de1b7f
47,47,audio_47.wav,0.6104051470756531,0.4509032666683197,0.8670905828475952,0.0753843560814857,0.2566854357719421,-0.3755189105868339,0.5537149,0.40011716,0.7899329,0.6309254,0.6487712,0.62759113,-1,9.791376,1.6520368,#e04e7f,11.050292,4.2452316,#fc657f,12.898834,2.5496652,#fb5f7f,12.147895,3.5858476,#fb537f,11.832257,5.0015693,#fc5e7f
48,48,audio_48.wav,0.6104051470756531,0.4509032666683197,0.8687402606010437,0.063756875693798,0.2583351135253906,-0.3871463909745216,0.56429935,0.8510073,0.71184456,0.6585418,0.6490158,0.59862924,-1,9.669263,2.3363104,#df577f,11.139764,4.712747,#fe6b7f,13.064067,2.9588115,#fd667f,12.002857,4.1117196,#f95b7f,11.824631,5.579016,#fc667f
49,49,audio_49.wav,0.6104051470756531,0.4509032666683197,0.7941009998321533,0.3373284935951233,0.1836958527565002,-0.1135747730731964,0.004279375,0.11585617,0.48166955,0.2471364,0.348598,0.87062204,-1,-4.142153,13.89253,#08ec7f,-4.6110964,10.151439,#01b27f,-5.9811754,11.995801,#04f57f,-5.777505,12.122348,#03d07f,-4.247849,11.868025,#01bb7f
50,50,audio_50.wav,0.6104051470756531,0.4509032666683197,0.8689159154891968,0.0635150372982025,0.2585107684135437,-0.3873882293701172,0.58773005,0.12365812,0.28400773,0.6618868,0.64875966,0.5943363,-1,9.156876,3.899642,#d76b7f,10.287322,6.2853274,#f07f7f,12.799049,4.7061634,#fa817f,11.286889,5.673994,#ef727f,11.058108,7.182181,#f07c7f
51,51,audio_51.wav,0.6104051470756531,0.4509032666683197,0.7941645979881287,0.3356959223747253,0.1837594509124755,-0.1152073442935943,0.030181766,0.38862985,0.4723311,0.25073403,0.35425165,0.86983186,-1,-4.187627,13.1559305,#08e37f,-4.369884,9.421172,#05a87f,-6.054857,11.305592,#03ea7f,-5.850288,11.269747,#02c47f,-4.3280168,11.037166,#00af7f
52,52,audio_52.wav,0.6104051470756531,0.4509032666683197,0.7940648198127747,0.3357499837875366,0.1836596727371215,-0.115153282880783,0.22873265,0.38273257,0.36256868,0.24717583,0.34710866,0.8711184,-1,-2.7828453,1.0884762,#1d477f,-1.4763145,-0.44954288,#33287f,-1.249152,1.1581147,#42497f,-0.971253,0.689124,#45297f,-0.22495016,1.085432,#402a7f
53,53,audio_53.wav,0.6104051470756531,0.4509032666683197,0.8675711750984192,0.075531855225563,0.2571660280227661,-0.3753714114427566,0.46570563,0.005422652,0.9820491,0.63801223,0.64992714,0.62011886,-1,8.016982,-2.8668518,#c5147f,8.694631,0.16359428,#d6307f,10.543717,-1.5411603,#dc1e7f,10.85511,-0.6704872,#e9157f,10.171722,0.56416255,#e2237f
54,54,audio_54.wav,0.6104051470756531,0.4509032666683197,0.8690346479415894,0.0575436651706695,0.2586295008659363,-0.3933596014976501,0.687589,0.8346044,0.095917165,0.66902393,0.6454509,0.5875333,-1,11.013464,12.889418,#f3df7f,7.837502,14.2829275,#c9e77f,9.12261,11.343365,#c9eb7f,9.977875,12.84083,#dddb7f,10.335943,14.603778,#e5df7f
55,55,audio_55.wav,0.6104051470756531,0.4509032666683197,0.8270466327667236,0.332342654466629,0.2166414856910705,-0.1185606122016906,0.31285793,0.4877032,0.5426856,0.3851806,0.4922662,0.81444585,-1,0.5569041,-3.122381,#51107f,2.4342804,-3.3686523,#72027f,3.1200035,-2.3432715,#7b127f,3.1265433,-1.6609288,#7e067f,3.2362401,-1.6467489,#76057f
56,56,audio_56.wav,0.6104051470756531,0.4509032666683197,0.8065780401229858,0.3380630016326904,0.1961728930473327,-0.1128402650356292,0.14872801,0.23056942,0.6611287,0.28665733,0.39489457,0.85857,-1,-4.3714356,6.9572906,#05937f,-3.0253136,4.402692,#1a677f,-4.5883746,6.180504,#16997f,-4.0836396,5.677081,#1a727f,-2.9538307,6.042553,#166c7f
57,57,audio_57.wav,0.6104051470756531,0.4509032666683197,0.869037926197052,0.0575640574097633,0.2586327791213989,-0.3933392092585563,0.6920913,0.97919965,0.42395717,0.66944396,0.6452859,0.5877114,-1,10.848177,13.2083235,#f1e37f,7.57921,14.577303,#c4eb7f,8.734341,11.56539,#c4ee7f,10.03133,13.264352,#dee17f,10.300763,15.037664,#e4e57f
58,58,audio_58.wav,0.6104051470756531,0.4509032666683197,0.8627737760543823,0.0895756334066391,0.2523686289787292,-0.3613276332616806,0.44221526,0.7553653,0.49019533,0.596461,0.6358203,0.66507614,-1,6.908293,-3.890703,#b4067f,7.699297,-1.345641,#c61c7f,9.128391,-2.5872111,#c90e7f,9.4087105,-1.5746956,#d5077f,9.349951,-0.7303608,#d6117f
59,59,audio_59.wav,0.6104051470756531,0.4509032666683197,0.8323870897293091,0.3325099050998688,0.221981942653656,-0.1183933615684509,0.3315711,0.852459,0.63595694,0.4078933,0.5145566,0.7972158,-1,1.4539429,-3.7990181,#5f087f,3.4505339,-3.5517943,#82007f,4.203166,-2.8356028,#890a7f,4.1409917,-1.7912357,#8c047f,4.2544255,-1.8358822,#86027f
60,60,audio_60.wav,0.6104051470756531,0.4509032666683197,0.8690290451049805,0.0572965107858181,0.2586238980293274,-0.3936067558825016,0.8332382,0.5842265,0.17779326,0.6692994,0.6452969,0.58722657,-1,10.030704,9.559457,#e4b47f,8.854495,11.189416,#d9bf7f,11.2276945,9.221714,#e5c97f,10.203266,10.650759,#e0bb7f,10.55556,11.959206,#e8bc7f
61,61,audio_61.wav,0.6104051470756531,0.4509032666683197,0.8681832551956177,0.0705298706889152,0.2577781081199646,-0.3803733959794044,0.49366558,0.07953447,0.30833364,0.64566404,0.65230983,0.6105691,-1,8.590623,-2.0516682,#ce1e7f,8.914253,0.7310474,#da377f,11.1372795,-0.88064283,#e4297f,11.22985,-0.20368756,#ee1b7f,10.705517,1.2227913,#eb2b7f
62,62,audio_62.wav,0.6104051470756531,0.4509032666683197,0.8689686059951782,0.0639069452881813,0.2585634589195251,-0.3869963213801384,0.6542097,0.33308256,0.5826462,0.67040944,0.64456207,0.58562696,-1,10.118303,9.336247,#e5b17f,9.183802,11.096442,#debe7f,11.242862,8.936085,#e5c57f,10.251903,10.302382,#e1b67f,10.704417,11.6038685,#ebb77f
63,63,audio_63.wav,0.6104051470756531,0.4509032666683197,0.7940850853919983,0.339187353849411,0.1836799383163452,-0.1117159128189086,0.014629543,0.123563826,0.27528,0.2503722,0.3524756,0.87058157,-1,-4.166527,13.914907,#08ec7f,-4.6858053,10.220405,#00b27f,-5.9838953,12.039028,#04f67f,-5.798459,12.198642,#02d27f,-4.191744,11.918634,#02bb7f
64,64,audio_64.wav,0.6104051470756531,0.4509032666683197,0.8047515153884888,0.3381265103816986,0.1943463683128357,-0.1127767562866211,0.14635211,0.34460717,0.69421065,0.28095102,0.38803115,0.8615456,-1,-4.505492,7.169574,#03957f,-3.0615697,4.526627,#1a697f,-4.731871,6.3140883,#149b7f,-4.0570946,5.891711,#1b757f,-2.9997532,6.3190646,#15707f
65,65,audio_65.wav,0.6104051470756531,0.4509032666683197,0.7941468954086304,0.3356859683990478,0.1837417483329773,-0.1152172982692718,0.021024346,0.5350295,0.81367517,0.25292763,0.3550489,0.87016374,-1,-4.0663023,13.367668,#0ae57f,-4.518751,9.453111,#03a87f,-6.21704,11.385001,#01ec7f,-5.7951913,11.374761,#02c57f,-4.272956,11.205546,#01b27f
66,66,audio_66.wav,0.6104051470756531,0.4509032666683197,0.8685027956962585,0.0692068934440612,0.2580976486206054,-0.3816963732242584,0.9448723,0.9131185,0.6702743,0.64989346,0.6514345,0.6068984,-1,9.714944,0.8088675,#df437f,10.698637,3.4050658,#f65a7f,12.510427,1.6422687,#f6517f,12.278223,2.7533777,#fd477f,11.898821,4.103103,#fd527f
67,67,audio_67.wav,0.6104051470756531,0.4509032666683197,0.7986132502555847,0.3352999687194824,0.1882081031799316,-0.1156032979488372,0.24389243,0.44651008,0.7107992,0.263235,0.3664166,0.8699634,-1,-2.7945054,0.6298352,#1d417f,-1.4306636,-0.90322304,#34227f,-1.0506395,0.5522286,#44407f,-0.8656577,0.19597816,#47217f,-0.35308588,0.59414023,#3e237f
68,68,audio_68.wav,0.6104051470756531,0.4509032666683197,0.8688881993293762,0.0644989311695098,0.2584830522537231,-0.3864043354988098,0.57479054,0.120803416,0.35287917,0.6609129,0.64899737,0.595483,-1,9.303489,2.720533,#d95c7f,10.781201,5.3097625,#f8737f,12.826449,3.701719,#fa727f,11.696943,4.5939603,#f5627f,11.35856,6.1051207,#f56d7f
69,69,audio_69.wav,0.6104051470756531,0.4509032666683197,0.8562077283859253,0.3162412047386169,0.2458025813102722,-0.1346620619297027,0.4484232,0.69113815,0.47850138,0.5464081,0.6081237,0.71083504,-1,7.29873,-3.6814609,#ba097f,8.058099,-0.87639594,#cc227f,9.74579,-2.1942873,#d2147f,9.893512,-1.3803247,#dc0a7f,9.610031,-0.3592783,#da167f
