train_loss/loss,train_loss/recon_loss,train_loss/vq_loss,epoch,step,val_loss/loss,val_loss/recon_loss,val_loss/vq_loss
0.10560393333435059,0.06251506507396698,0.04308886453509331,0,49,,,
0.07924749702215195,0.06154254823923111,0.017704950645565987,0,99,,,
0.0934266522526741,0.06251344829797745,0.030913203954696655,0,149,,,
,,,0,195,0.08496002852916718,0.061834387481212616,0.023125680163502693
0.08374863117933273,0.06059670448303223,0.023151928558945656,1,199,,,
0.09234838932752609,0.06494182348251343,0.027406565845012665,1,249,,,
0.07963123917579651,0.06473719328641891,0.014894046820700169,1,299,,,
0.07961630821228027,0.060150548815727234,0.01946575567126274,1,349,,,
,,,1,391,0.07790137827396393,0.061836522072553635,0.016064876690506935
0.09208741784095764,0.06411959230899811,0.027967829257249832,2,399,,,
0.08485443145036697,0.06015254184603691,0.024701889604330063,2,449,,,
0.0813026875257492,0.06416866928339005,0.017134016379714012,2,499,,,
0.07848475873470306,0.06310360878705978,0.01538115181028843,2,549,,,
,,,2,587,0.07844831794500351,0.06179849058389664,0.016649823635816574
0.07810947299003601,0.06199183315038681,0.01611763797700405,3,599,,,
0.08730168640613556,0.06491158902645111,0.022390097379684448,3,649,,,
0.06356056779623032,0.05685987323522568,0.006700696889311075,3,699,,,
0.06533828377723694,0.0642915666103363,0.0010467196116223931,3,749,,,
,,,3,783,0.060419000685214996,0.058664850890636444,0.001754156081005931
0.04195328429341316,0.03888135030865669,0.0030719332862645388,4,799,,,
0.025697844102978706,0.021441135555505753,0.0042567080818116665,4,849,,,
0.02203109860420227,0.017109889537096024,0.004921208135783672,4,899,,,
0.015226716175675392,0.014460287988185883,0.000766428594943136,4,949,,,
,,,4,979,0.01475580409169197,0.01400498766452074,0.0007508145645260811
0.014639155007898808,0.014018796384334564,0.000620358856394887,5,999,,,
0.014506968669593334,0.012915588915348053,0.0015913801034912467,5,1049,,,
0.01351045910269022,0.012205010280013084,0.0013054485898464918,5,1099,,,
0.012109133414924145,0.01078072004020214,0.0013284137239679694,5,1149,,,
,,,5,1175,0.011937765404582024,0.010622624307870865,0.0013151435414329171
0.013173984363675117,0.010769546031951904,0.0024044387973845005,6,1199,,,
0.012051451951265335,0.010025689378380775,0.0020257628057152033,6,1249,,,
0.011357301846146584,0.009404633194208145,0.001952668302692473,6,1299,,,
0.010834128595888615,0.009093581698834896,0.0017405468970537186,6,1349,,,
,,,6,1371,0.011114303953945637,0.009284312836825848,0.0018299926305189729
0.011133864521980286,0.009054790250957012,0.0020790742710232735,7,1399,,,
0.0103613855317235,0.008561569266021252,0.0017998164985328913,7,1449,,,
0.00959684606641531,0.007898043841123581,0.0016988019924610853,7,1499,,,
0.009845858439803123,0.008097585290670395,0.0017482731491327286,7,1549,,,
,,,7,1567,0.009965459816157818,0.008172433823347092,0.0017930272733792663
0.0091830063611269,0.00770033523440361,0.0014826706610620022,8,1599,,,
0.00992923229932785,0.008259269408881664,0.0016699625412002206,8,1649,,,
0.009593314491212368,0.007989803329110146,0.0016035111621022224,8,1699,,,
0.009350930340588093,0.00787617638707161,0.001474754186347127,8,1749,,,
,,,8,1763,0.009385081939399242,0.007823985069990158,0.001561095006763935
0.009241816587746143,0.007745198905467987,0.0014966174494475126,9,1799,,,
0.008833648636937141,0.007375027053058147,0.001458621583878994,9,1849,,,
0.008717705495655537,0.007244577631354332,0.0014731278643012047,9,1899,,,
0.0087437704205513,0.007185990922152996,0.0015577797312289476,9,1949,,,
,,,9,1959,0.008587722666561604,0.007117544766515493,0.001470173359848559
