,id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_drive,p_muffle,p_output_db,p_hat_drive,p_hat_muffle,p_hat_output_db,class,x_emb_n=0,y_emb_n=0,colour_n=0,x_emb_n=5,y_emb_n=5,colour_n=5,x_emb_n=10,y_emb_n=10,colour_n=10,x_emb_n=25,y_emb_n=25,colour_n=25,x_emb_n=100,y_emb_n=100,colour_n=100
513,513,audio_513.wav,0.6104051470756531,0.4509032666683197,0.5211894512176514,0.5613767504692078,-0.0892156958580017,0.110473483800888,0.47276795,0.33790052,0.7793103,0.67224944,0.42687562,0.42515624,-1,0.109076776,12.495221,#508e7f,-0.31082225,16.630943,#57a47f,5.484945,15.270682,#55cc7f,9.11504,19.121065,#a59d7f,3.9968553,17.58246,#51a07f
514,514,audio_514.wav,0.6104051470756531,0.4509032666683197,0.5105224251747131,0.57042396068573,-0.0998827219009399,0.1195206940174102,0.82891196,0.47025692,0.3519416,0.7133798,0.48051918,0.44469607,-1,1.6965686,13.685245,#86c77f,1.2292092,17.146803,#8cc07f,7.1981893,15.599524,#8ee47f,7.713318,20.011644,#75d37f,5.566562,18.64516,#87db7f
515,515,audio_515.wav,0.6104051470756531,0.4509032666683197,0.5017266273498535,0.5740967392921448,-0.1086785197257995,0.123193472623825,0.71748775,0.57981104,0.8137538,0.7067482,0.52427334,0.44655895,-1,2.157975,13.463045,#96bc7f,1.6952925,16.855963,#9bb07f,7.7689233,14.939887,#a1b57f,7.173475,19.616116,#63bb7f,6.2685127,18.145855,#9fbf7f
516,516,audio_516.wav,0.6104051470756531,0.4509032666683197,0.4584185481071472,0.6234115958213806,-0.1519865989685058,0.1725083291530609,0.08885169,0.84650874,0.2066837,0.7143875,0.7553299,0.49619892,-1,4.3664665,12.267939,#e1837f,3.5584085,15.796436,#db787f,8.7472,13.4095335,#c1477f,5.704939,17.934015,#31567f,7.7675138,16.71883,#d2707f
517,517,audio_517.wav,0.6104051470756531,0.4509032666683197,0.4899156987667084,0.585452139377594,-0.1204894483089447,0.1345488727092743,0.22884738,0.64818525,0.036431015,0.7184788,0.58439445,0.45966032,-1,3.0028427,12.568797,#b2917f,2.3283713,16.153286,#b18b7f,8.044156,14.085827,#aa777f,6.6322784,18.693111,#51847f,6.70977,17.221388,#ae8c7f
518,518,audio_518.wav,0.6104051470756531,0.4509032666683197,0.4492117464542389,0.6277755498886108,-0.1611934006214141,0.1768722832202911,0.5622455,0.9225875,0.5542747,0.7626346,0.8172889,0.55226874,-1,5.027993,14.086961,#f7da7f,4.3842874,17.281996,#f7c77f,10.158994,14.165607,#f07d7f,4.5474997,19.679945,#0abf7f,8.945083,18.44187,#facf7f
519,519,audio_519.wav,0.6104051470756531,0.4509032666683197,0.5252488851547241,0.5560185313224792,-0.0851562619209289,0.1051152646541595,0.77116686,0.22042286,0.66233104,0.64993197,0.40816218,0.4179906,-1,-1.0203626,11.594282,#2a637f,-2.1433492,16.091274,#18877f,3.8796844,14.990843,#1fb87f,10.542365,19.1549,#d59f7f,2.5928357,17.236488,#218d7f
520,520,audio_520.wav,0.6104051470756531,0.4509032666683197,0.5269775986671448,0.556632936000824,-0.0834275484085083,0.1057296693325042,0.4795046,0.28131443,0.8535793,0.6486124,0.40302044,0.4161502,-1,-0.51714665,12.620317,#3b947f,-1.0164558,16.512426,#3f9e7f,4.9919615,15.701753,#44eb7f,9.800522,19.78614,#bcc57f,3.473294,17.936037,#3fb37f
521,521,audio_521.wav,0.6104051470756531,0.4509032666683197,0.4547096192836761,0.6185683608055115,-0.1556955277919769,0.1676650941371917,0.4316488,0.986029,0.18791318,0.75898665,0.7843652,0.5335944,-1,5.1071553,13.972754,#fad47f,4.123322,17.126715,#eebf7f,9.50406,14.451574,#da927f,4.924146,19.410702,#17af7f,8.583206,18.268196,#eec67f
522,522,audio_522.wav,0.6104051470756531,0.4509032666683197,0.4651918113231659,0.6154224276542664,-0.1452133357524871,0.1645191609859466,0.48075324,0.9185417,0.5817897,0.76335794,0.7185432,0.51560795,-1,4.8918147,14.016726,#f2d67f,4.476155,17.30395,#fac87f,10.585485,14.475247,#fe937f,4.5482836,20.142227,#0adb7f,9.022278,18.55389,#fdd67f
523,523,audio_523.wav,0.6104051470756531,0.4509032666683197,0.4552288055419922,0.6180754899978638,-0.1551763415336609,0.167172223329544,0.31661588,0.90538037,0.35971373,0.7677831,0.7798487,0.5391301,-1,5.1690226,14.069756,#fcd97f,4.4136686,17.3839,#f8cc7f,10.426484,14.101951,#f9797f,4.438433,19.470728,#06b27f,9.061616,17.949018,#feb47f
524,524,audio_524.wav,0.6104051470756531,0.4509032666683197,0.4680170118808746,0.611958384513855,-0.1423881351947784,0.1610551178455352,0.42747998,0.6817644,0.3745454,0.71295357,0.7036389,0.47841468,-1,3.2526429,13.411788,#bbba7f,2.7185326,17.191137,#bec27f,8.439199,14.920837,#b7b37f,6.3134685,19.661388,#46be7f,6.895953,18.032658,#b4b97f
525,525,audio_525.wav,0.6104051470756531,0.4509032666683197,0.4860860109329223,0.589644730091095,-0.1243191361427307,0.1387414634227752,0.106166124,0.57151926,0.8862866,0.6911429,0.6044257,0.45198855,-1,1.897157,10.999273,#8d467f,1.5039986,14.967539,#954b7f,6.734336,13.117138,#7e327f,7.5757027,17.535894,#713e7f,5.762612,16.093416,#8e4d7f
526,526,audio_526.wav,0.6104051470756531,0.4509032666683197,0.4757628738880157,0.6019283533096313,-0.1346422731876373,0.1510250866413116,0.8275866,0.6422867,0.37911332,0.7178494,0.6571148,0.4739129,-1,3.227446,13.172538,#baae7f,2.764927,16.433126,#c09a7f,8.509458,14.035832,#b9747f,6.210418,18.945425,#42937f,7.2398252,17.614191,#c0a17f
