id,audio_file,x_b,x_d,y_hat_b,y_hat_d,brightness_diff,depth_diff,p_l_m_hz,p_m_h_hz,p_l_comp_db,p_m_comp_db,p_h_comp_db,p_l_out_db,p_m_out_db,p_h_out_db,p_attack_s,p_release_ms,p_stereo_width,p_hat_l_m_hz,p_hat_m_h_hz,p_hat_l_comp_db,p_hat_m_comp_db,p_hat_h_comp_db,p_hat_l_out_db,p_hat_m_out_db,p_hat_h_out_db,p_hat_attack_s,p_hat_release_ms,p_hat_stereo_width
0,audio_0.wav,0.5813199877738953,0.3321695923805237,0.5990620255470276,0.3048853874206543,0.017742037773132324,-0.027284204959869385,0.51864964,0.31198847,0.10096574,0.38442427,0.9414164,0.030332088,0.2187463,0.32155275,0.009539068,0.062256277,0.703175,0.7279863,0.22467637,0.24023157,0.28914964,0.59413576,0.2600201,0.48866385,0.49433756,0.39758295,0.46669567,0.13442945
1,audio_1.wav,0.5813199877738953,0.3321695923805237,0.5004978179931641,0.4503488540649414,-0.0808221697807312,0.11817926168441772,0.5071354,0.67605287,0.3288074,0.76160747,0.6537896,0.6300882,0.110881984,0.3818934,0.06846589,0.49891168,0.5212943,0.40720016,0.28135094,0.6945853,0.46161428,0.40717283,0.52156353,0.25471509,0.4700442,0.4171335,0.34880772,0.23054896
2,audio_2.wav,0.5813199877738953,0.3321695923805237,0.5951035022735596,0.30631139874458313,0.013783514499664307,-0.025858193635940552,0.43482512,0.23103583,0.6236471,0.17821002,0.112541854,0.0092615485,0.5055091,0.6237371,0.6797481,0.5804581,0.19898438,0.73582,0.22754511,0.25680432,0.29632622,0.55818653,0.2669369,0.49778298,0.463807,0.4091148,0.45272303,0.13988851
3,audio_3.wav,0.5813199877738953,0.3321695923805237,0.6192041039466858,0.3073071837425232,0.03788411617279053,-0.02486240863800049,0.95798904,0.20461506,0.4282955,0.56014526,0.6972452,0.19460678,0.116300225,0.5513599,0.5284994,0.495035,0.036063075,0.6900502,0.22189994,0.26503116,0.2780644,0.6462025,0.28966457,0.46220702,0.56692046,0.39054775,0.48769617,0.11751822
4,audio_4.wav,0.5813199877738953,0.3321695923805237,0.5139286518096924,0.44745340943336487,-0.06739133596420288,0.11528381705284119,0.5369859,0.6813844,0.5541957,0.88923997,0.7216834,0.7315914,0.5221937,0.67001253,0.2995993,0.5761756,0.872247,0.42491487,0.27070418,0.66077256,0.4452409,0.44431666,0.5376653,0.30844456,0.5182996,0.40646002,0.38618147,0.2139009
5,audio_5.wav,0.5813199877738953,0.3321695923805237,0.5329236388206482,0.4436875581741333,-0.04839634895324707,0.11151796579360962,0.46824723,0.54282475,0.5624199,0.07989693,0.29592878,0.9094301,0.80730146,0.7335857,0.3651911,0.31001878,0.79473484,0.4448285,0.2631246,0.6363902,0.42982414,0.47305837,0.5450994,0.34691697,0.5477266,0.40205598,0.41295412,0.20147201
6,audio_6.wav,0.5813199877738953,0.3321695923805237,0.6496909260749817,0.3368963599205017,0.06837093830108643,0.004726767539978027,0.1496306,0.8203193,0.79969615,0.5404104,0.90361553,0.5493002,0.3981567,0.98511416,0.8570159,0.36968642,0.7510867,0.5290958,0.25247496,0.456911,0.32254693,0.671244,0.47703516,0.41015193,0.6883918,0.3961741,0.5194181,0.11779958
7,audio_7.wav,0.5813199877738953,0.3321695923805237,0.6170949339866638,0.33326223492622375,0.035774946212768555,0.0010926425457000732,0.18202549,0.07275742,0.5641063,0.0052075386,0.80810237,0.44310796,0.29630953,0.45383537,0.85538673,0.61553544,0.7180721,0.5853912,0.25486952,0.42074782,0.31552902,0.6417489,0.43777856,0.44472718,0.6286284,0.41288328,0.520101,0.1183957
8,audio_8.wav,0.5813199877738953,0.3321695923805237,0.547001838684082,0.40532124042510986,-0.03431814908981323,0.07315164804458618,0.5549533,0.2634951,0.9142003,0.3379143,0.032375753,0.78662825,0.8912871,0.90469235,0.6902716,0.06116432,0.8209981,0.57572967,0.2787311,0.5826059,0.4130893,0.43569517,0.50435823,0.42833126,0.49203303,0.46248507,0.43343732,0.19487146
9,audio_9.wav,0.5813199877738953,0.3321695923805237,0.5924050211906433,0.30774420499801636,0.011085033416748047,-0.024425387382507324,0.3838467,0.3359818,0.56500894,0.7278472,0.027821422,0.27877158,0.5218772,0.3984971,0.63693905,0.13214386,0.685775,0.7312168,0.23403348,0.3070507,0.3075267,0.5156842,0.30231273,0.4982608,0.44705296,0.43072167,0.4470786,0.14112313
