,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
thresh_db,0.006780015871274969,0.007851108732532808,0.0,0.0,0.011439195986962858,0.015287682423240412,0.01349725407565927,0.00194450297094928,0.0006463821083260157,0.0,0.0033681455996195098,0.009858576476079683,0.028421330038972847,0.000947405909220933,0.007591778722150444,0.0,0.017581178093010408,0.004657014361043821,0.009563121778500161,0.0023872223246970137,0.008652181076849175,0.015108485265263205,0.00801943960751128,0.027875006320960516,0.008744539639009119,0.023576435962074704,0.0005034415174547391,0.0,0.020075696924014785,0.0,0.00636088208424912,0.0,0.007103585714411054,0.0032144208224771376,0.005176799480995697,0.0,0.004914895562146526,0.007035184642941061,0.0,0.0033100314318437185,0.015720302477168602,0.00037171560485127486,0.011836281016197603,0.0038079233145351665,0.01666403685515494,0.0,0.011707632603295437,0.022383434582411432,0.00590757270915887,0.0,0.0,0.02717723066404165,0.0,0.008362890167390447,0.0,0.000591874900984557,0.0,0.0045448651421624575,0.00013480849872138378,0.01454619359432563,0.008024225993135126,0.0035479309366692746,0.0,0.0008624740408720299,0.0010034357066031063,0.000671118259138126,0.015773090538723444,0.01728034785275323,0.016546819587712314,0.0,0.0,0.0,0.0,0.006923180169613019,0.006142535941363825,0.0022506475799142223,0.007340620379360452,0.004712325501474268,0.010256880297603743,0.0031345601833550063,0.01312324762592798,0.006031917386178698,0.004202330464135429,0.00883617432403927,0.010874590039571252,0.012817316819491609,0.007004552029471256,0.015302757719034332,0.006160166641761222,0.0,0.002209593181560443,6.389434314080233e-05,0.0030844313863953587,0.0045095531376775355,0.018221696128770226,0.014641194366434185,0.0,0.016975976084693478,0.0,0.003118052160503204,0.0,0.0,0.0230401134689302,0.013287290099921023,0.0,0.02102917593440523,0.010397066606452121,0.0,0.008900861210034527,0.011985427718700592,0.0,0.01051159326700013,0.007744824911253723,0.0,0.014368686014509358,0.0,0.0,0.0016724153978842082,0.014472686350496922,0.030173004899699762,0.016589221433820356,0.000265274148992134,0.0,0.0,0.0019099182799253711,0.004061874335827831,0.02091455661182806,0.0
ratio,0.010873218140348584,0.009439895973115675,0.0,0.0,0.013452023281168124,0.012895318017958068,0.010386645815348317,0.004723703334924778,0.02166009431086291,0.0,0.014031463355446583,0.014403620271734141,0.016404304634463962,0.0,0.006834199212982561,0.0009758907090651192,0.00284257229513063,0.001619299839974886,0.0031470191838769423,0.023988848163854826,0.023908903720637475,0.016907322975003858,0.002433349571546728,0.02453272998134093,0.019119070072256328,0.022886092672274927,0.012796280206875288,0.007414274054642789,0.01555852304735783,0.010795317773967028,0.004058554336507925,0.00556316290120229,0.0,0.009718462499754388,0.011254615592176442,0.0,0.0,0.020543779501361215,0.0,0.0,0.005579083596084722,0.0027919685605066746,0.015391521444919398,0.018757264879737612,0.0,0.0045378259651860375,0.004318065891409262,0.02013751424612309,0.0,0.003891175814522363,0.0,0.021902580027495233,0.0,0.01799455523455684,0.007881082543070406,0.009866728737764952,0.01112974715164583,0.0,0.005640892392789532,0.012252375776772517,0.0,0.0,0.0,0.012027474426580476,0.0,0.004440910963832145,0.010225934648102175,0.008639660686936779,0.0,0.004144841944113686,0.0,0.01278600330268631,0.0,0.0,0.0,0.0,0.006401476309149778,0.0022453575130239045,0.009234609381015169,0.015511832884269161,0.004202881632219935,0.0,0.010642487733020012,0.010744994956179532,0.0,0.009022305044477541,0.0006014503691771367,0.015467136580975094,0.0,0.0032615605282630966,0.005586697647530059,0.0,0.0,0.020622236005033656,0.0037410560070316734,0.0,0.0,0.0,0.0,0.015038444178480326,0.006943295887428036,0.01494850673852266,0.013916983860954524,0.0003806936442529718,0.0,0.013998704663853445,0.005608634740733365,0.0,0.0,0.0,0.0,0.0,0.0027698018965649496,0.0,0.007285865625979326,0.018009122132825794,0.005173445452876457,0.002658234153037675,0.007438599250790823,0.018277956535378337,0.01271222679710693,0.003697982122051968,0.0,0.0,0.0,0.0,0.005180400824295717,0.0
output_db,0.00210163685307041,0.0047945420731583255,0.0,0.018976372596540614,0.006370217505654807,0.05828842622946517,0.03218286365537626,0.003186755982381939,0.05956858064592385,0.023169434251967935,0.013831537920794723,0.0327719694245685,0.04429264704200975,0.01904049772904237,0.019849314478234348,0.07475080423140401,0.05475113336733006,0.004658451877802783,0.016341431158844344,0.027963290738286517,0.051326718358635226,0.02684629948109407,0.0028238640953164307,0.0458244715557905,0.023630482974448697,0.03958823037647807,0.0,0.013478402319353044,0.017728079220653115,0.00011374728284696545,0.02656141612933194,0.017294084379215313,0.011773405425055117,0.007696982137397335,0.027153913980534128,0.01495307911120225,0.01876815791856501,0.045443879425054234,0.011492814366956594,0.028829767263566453,0.047119412514686765,0.01877668595364046,0.00435604030566239,0.060397362282654576,0.02179481682677409,0.04133119708004873,0.05873697834177083,0.05753330007905966,0.0454679033198202,0.0004592503950551219,0.021731747978646077,0.043335856343011514,0.0,0.038584824399210405,0.041203105255765315,0.02930817304514388,0.012404847781027684,0.021845147107758756,0.0,0.006533810387926664,0.0007995632099149219,0.003002185211497199,0.02628652025244449,0.0,0.008246240775060976,0.0525727098481239,0.0,0.061647789535816955,0.029773783206666238,0.032169141208401086,0.010444773191158774,0.00832913980016503,0.015995866260931635,0.03235379772731228,0.005236472636713785,0.01902754056223177,0.011815819758671076,0.06656933205970361,0.016323946056303384,0.018677115768719332,0.04454249340989502,0.005294148364293427,0.038107787237922075,0.01972628489699968,0.012108624201720986,0.055072602316485586,0.017170253723831408,0.034732247162054364,0.006642526667362425,0.008438730348417245,0.009194728744364333,0.015223046223062475,0.025415794120672963,0.0029348806333624466,0.04898231635852657,0.010783975189660566,0.0,0.0053552781684347295,0.013962929152980585,0.021993588525627494,0.02453948599212996,0.0,0.051675251904071295,0.030774714653226454,0.05363019715245443,0.031732207696585135,0.01837732546991866,0.0178807672260195,0.016481492747501214,0.00713007968255841,0.003308080333884078,0.002759458713423868,0.05366816636698779,0.000610412456547138,0.03824723363489557,0.04974127221326441,0.0,0.038558819836025826,0.0043921744967079235,0.038048913936790996,0.03572034938722091,0.0116938409481806,0.013728067157382284,0.008477978268906838,0.01392980285181089,0.012321284656233722,0.019365151724259455,0.0
attack_s,0.0,0.0,0.0,0.0,0.007985406851844346,4.583849690575903e-05,0.011760766660533939,0.0,0.0,0.006283678986761743,0.0089213319633199,0.0,0.0023968153377289525,0.00908131054051875,0.0,0.0,0.0,0.0,0.013410870640954364,0.007760487352604706,0.002513712228442877,0.003189035667942264,0.0,0.004581834337369806,0.0,0.001884329112284533,0.0,0.0,0.0,0.0,0.0024473631593906475,0.005212720753855926,0.0,0.0,0.0,0.0,0.0,0.012186726271134596,0.014676637697442985,0.010050216106167298,0.010724566923006051,0.006186393364163045,0.0,0.0,0.0,0.005697302989689845,0.0006316518026237006,0.0,0.0020717356263180164,0.003302916106678211,0.007257087172293453,0.0,0.0,0.011609594747858054,0.010687299397017291,0.0005302569126728329,0.006253901064129153,0.0014483702717535962,0.004960897019078203,0.0,0.0,0.0,0.00735693905705137,0.0028880137036821907,0.0010116431579518803,0.0,0.012771507614649735,0.01624346102583729,0.0016388540612686242,0.0,0.0,0.0,0.0,0.0,0.006256913863050606,0.0014147836465072672,0.0,0.006500211527080246,0.00822925175086997,0.006032292436293218,0.0,0.0,0.005285686912106513,0.0,0.00659850782997129,0.013413608419782896,0.0,0.0056095810862286655,0.0,0.0,0.005421452929367909,0.0,0.0,0.01726827076133919,0.0029543895412613708,0.007300763473304883,0.0032182558178543985,0.0055209876574222605,0.0,0.0,0.0,0.0,0.003795722905112875,0.0,0.0,0.0,0.004084073418510137,0.0,0.006587403512343215,0.006225670745951817,0.0,0.005781617765385327,0.0034405705976343626,0.0,0.0,0.014363156577729796,0.0,0.008229751953972908,0.0017795585045048412,0.0004584205929960561,0.0,0.01590595477022294,0.002917676950118242,0.00011500579266510158,0.007276794264426734,0.0,0.01689407951932509,0.0
release_ms,0.010197063716000265,0.027693725157355686,0.0,0.015142097395397514,0.0,0.013166033439287794,0.06805270986031786,0.0,0.059612725693020785,0.0,0.027159781420575513,0.03682602658755041,0.02381166683664393,0.0413204904917448,0.00857480119459364,0.01370250720663968,0.03681337948748009,0.025034787064835307,0.04322298900883137,0.02256179926296742,0.0329729354499797,0.0128131104520266,0.02392109133608855,0.026178566569601713,0.029250323913275977,0.04657582118981729,0.020330181724767193,0.005083294372562719,0.0037125093012573274,0.02824277788753715,0.011906845624662488,0.013577427045915691,0.0070534429016611,0.01058131432601872,0.0592156684453915,0.014534361243726757,0.016670814371772202,0.00030824354252700914,0.02656826005008117,0.010162542633702643,0.009252184372570582,0.12014458624073665,0.02856320647474142,0.003907355628482101,0.003043678947919126,0.004278085728816272,0.05546604516213538,0.05056031060593824,0.016735816658389524,0.00475725353718115,0.01027999694584647,0.04724302097628108,0.013477964370751216,0.01605155234919664,0.0131509463828694,0.03869247777558904,0.0,0.012589108557285122,0.012695203109189812,0.017027476885166593,0.007866834501809805,0.004071650889487799,0.03058317013676426,0.002921854901976495,0.0,0.035762374618174775,0.0,0.009989278347322106,0.04354686617013215,0.03161900874974677,0.028040737216505462,0.0,0.007105475596561384,0.018921956651619887,0.004274068322243529,0.0319509260387969,0.021667541201338736,0.017114020146243192,0.03942449550975713,0.007414502090828279,0.04977445711809736,0.02001085737199748,0.01559866856837111,0.026284361198195327,0.007086988951148676,0.0442469681027049,0.0,0.028077906586066348,0.01801383281480451,0.023904455791530665,0.03874283682917845,0.0017019813520962046,0.0395729423397837,0.007689832927317397,0.008115378475261892,0.0022001192638692046,0.005073801970935321,0.015177663249733797,0.0472070183947757,0.008749130312253328,0.0298892633096548,0.0,0.062074881400957516,0.028370457970530616,0.06050912263320107,0.022994653066468196,0.0050131776439590325,0.03991494520662542,0.013976801242834291,0.025041936461905223,0.009919407996285656,0.0,0.005949094275195854,0.0,0.026018991327450003,0.01476580895333246,0.0,0.018478956086790177,0.003429905537028155,0.054428376270238665,0.029541452433270443,0.03856102972510911,0.030603162786668747,0.018270630497405627,0.029918947929524542,0.017621154890955282,0.0,0.02622243686032455
limiter_db,0.0,0.009807280325247802,0.0,0.011594576343726182,0.005773372927287745,0.0,0.0,0.0037261791788845144,0.0,0.007849150437563956,0.011414262413560472,0.0,0.004247529944191086,0.006419833616324588,0.0046706914758418705,0.0,0.009129372265335611,0.0023532462060353865,0.027245479562846064,0.006445396356338229,0.0,0.006507051635966654,0.002020310863253272,0.009768270393925249,0.0043736367402278375,0.0,0.004688619223784052,0.0,0.011831990960767591,0.0,0.013952423794576063,0.006696257498320257,0.021413183903923994,0.007165289431898536,0.004942486147140102,0.004690366460582851,0.0,0.011337643201206227,0.00645247988505826,0.0,0.006023083171005972,0.0,0.0,0.0,0.010357390311273917,0.00048727791851987945,0.02058527623066997,0.02463844689250383,0.0,0.00013928083306335992,0.008756921884159219,0.001846435583723327,0.0,0.015148203462998389,0.0,0.01070179080060818,0.0,0.0,0.0,0.008576366267618596,0.015158870524007106,0.0,0.001206267077992429,0.0,0.01133086202197564,0.012478077972952306,0.009561798034002145,0.0,0.007281626985943035,0.0,0.0,0.0,0.0,0.007622429429024358,0.008251664177256757,2.2766848915445337e-05,8.565381145242412e-05,0.0,0.015467180185692264,0.0,0.008323814126351081,0.0044660718822218115,0.0007139290337399018,0.001690031717977547,0.002298227816186049,0.01801574174577958,0.01182235492946937,0.0,0.0012641460051039388,0.0,0.0,0.012557688976055026,0.0,0.0,0.014976374829528183,0.0,0.005305205176477479,0.0011704555707163777,0.003005568598874575,0.0075101464031268605,0.0,0.0,0.0021006634684574976,0.005885009154848575,0.0,0.006911946072720276,0.007598881029279525,0.017556800583593102,0.0,0.0,0.0,0.009633922074005596,0.009701202764926364,0.012636421666867292,0.009743243056954398,0.006269954250749166,0.0,0.010897470047946278,0.00026570600142061807,0.007896808924666487,0.007681031642658098,0.0,0.0010487217791830261,0.0,0.003476093620726317,0.0032394927384578054,0.011508231241102784,0.003733776409781342
gate_thr_db,0.03828444983351087,0.047027086037351395,0.025065870713955718,0.037761717554850804,0.06378563705326457,0.21740304524254928,0.08160678094852791,0.05001363106477985,0.08087147058324984,0.045827773762627366,0.05874459694101386,0.12328432523263722,0.15874070197762968,0.02329563321560446,0.07966336727152878,0.19163044441513843,0.23251210398093747,0.03369473008219526,0.11510956294201602,0.07934717323269425,0.10827396326838734,0.04099106397775909,0.036668668403258664,0.13840699554943647,0.05933680402314234,0.08195647545483009,0.0527498589221862,0.06549815480675747,0.04951712070145842,0.0804227911690738,0.08832872728036367,0.02319252156038054,0.0480219579499046,0.006873172583111042,0.10292927068576496,0.03368840808857154,0.01898721494259803,0.04967202229866352,0.02282979465388646,0.0334478944484653,0.10263532286332389,0.14799918390635547,0.057370210746175765,0.1382835707484089,0.017085366887852338,0.06464327416776161,0.1595734424781643,0.11044604334034958,0.06416623871772043,0.03337159875481621,0.015156511040015808,0.110863031566244,0.005329539399300032,0.09680938007036843,0.05090787813201825,0.11041140593661591,0.015979226917801626,0.015002833465916687,0.01725310488568077,0.03250150387613715,0.025450591986905913,0.004231424145847207,0.0508713640740277,0.020453779083622337,0.06355587050121425,0.06698870545978153,0.07268816802981881,0.1190971649359458,0.07537461657964162,0.0678762292662558,0.06575380746114057,0.026188691402468045,0.016358463566961134,0.18799917879429984,0.02284566743030858,0.06510290194366597,0.018410010769454033,0.09596613403622634,0.06897912499485503,0.08513684586960757,0.11664606176945647,0.02849306096887627,0.08777832038185185,0.11047571048760574,0.05354140727720402,0.08660715380957296,0.016201923766572257,0.06860238448358302,0.049795690468946496,0.04467027439200688,0.045721396359826194,0.00272937892031333,0.11710765537976187,0.032894452710261035,0.07723558093916605,0.005336780387300344,0.03474136890416535,0.061915246936538715,0.007435884260234893,0.014637187826163078,0.060560198982232194,0.0,0.0891925976171466,0.08566837203257816,0.0850042507412434,0.03892431696261056,0.029749236106353827,0.03119499730130837,0.19202436262274247,0.060362388676654,0.023226524676133842,0.09959476292566549,0.05042394303405029,0.016487911086620954,0.059012919683588905,0.27207368743587157,0.01150212598811784,0.10498298247754434,0.019211339714205522,0.1329637412458684,0.1194781250653163,0.06343429508842835,0.02842645124386234,0.0,0.031219015624656343,0.007416278616213745,0.04073736826449714,0.008273549076091236
gate_att_s,0.00304538610804439,0.0,0.018010626173326827,0.0,0.0025936233400942754,0.005100818624383052,0.0,0.0,0.0,0.004159951630708925,0.0,0.007763275179935469,0.0,0.004994154281663832,0.0,0.009144470804106852,0.002350197112385821,0.0,0.018130310143281037,0.0058094920299893715,0.003957084598955163,0.008209788606547974,0.0,0.011208907125494605,0.0,0.003489879234805926,0.005869122478696198,0.0,0.0,0.00328409196772661,0.0015346854903564022,0.0,0.0,0.0,0.0,0.002867155998254489,0.003189162170012416,0.0,0.01734880805697614,0.0,0.009967671731049954,0.0,0.0,0.0,0.004067139946766218,0.0021975293533174067,0.0003165360058252631,0.014257039570840568,0.0,0.0,0.01396683454717973,0.0,0.007219113269308686,0.0,0.00639159387049304,0.0,0.007302135966318346,0.0036011404348661458,0.01228099899863011,0.003932104110176304,0.006666269922383172,0.0041706816687412385,0.0,0.0,0.0030786021519570994,0.008297231788593429,0.0,0.0,0.00022122000692004207,0.0,0.014617218170900337,0.006503532200832218,0.0,0.005809076319637896,0.0,0.0,0.0005407670354165006,0.0015526487126189537,0.00012208660238677282,0.007752354456219024,0.0,0.014111794643099529,0.002843948695296028,0.0,0.0,0.0,0.0,0.0,0.0,0.008894030273800091,0.009386901008552329,0.009236520333256948,0.0011117460377638722,0.0007019587204109001,0.0,0.008258250987541516,0.006698002056431562,0.0,0.008748996045699009,0.0032373300341497213,0.0004596020223788244,0.0,0.0,0.0,0.0,0.0,0.00624491280164996,0.005992965652592552,0.01007841124973563,0.006851305969959753,0.0021382852800932994,0.00795996047323122,0.0,0.0,0.004674760348102325,0.0,0.0,0.02057661431958291,0.0,0.01352346064872556,0.0027508067615675813,0.0,0.0,0.011551305017302838,0.005939195405363584,0.0070838027597348585,0.0,0.007785671844835029
gate_rel_ms,0.016977469748204577,0.00997939973049089,0.0,0.0,0.006791139998354012,0.01142861938447659,0.013226799477370932,0.014516566097810824,0.030022613494428363,0.0027987623972594022,0.0,0.024724232026606785,0.04679047268535541,0.008489458972780639,0.02795286753461035,0.031886044988081785,0.00781377215733503,0.002984745729778915,0.04378201878544896,0.023049000754109983,0.03681586789120406,0.003994408854798515,0.0,0.02855894839061257,0.007699916622829761,0.0660402168012375,0.02010231327768075,0.0008861238737907229,0.019609963779873674,0.04083903975477554,0.015203396710496975,0.003818636602474612,0.013052005620346918,0.0029910841707199154,0.006940766900049411,0.017929188872663815,0.01092272804736183,0.0007140265886826924,0.00021502669087691828,0.0015848881337108267,0.040455454196760776,0.039092901179247797,0.013147952700440335,0.031277337651220094,0.0,0.004144058965435349,0.03500713760570573,0.04319515199266721,0.015025464116512843,0.005756726219035002,0.010282755165278878,0.02912235697155463,0.005095317931118615,0.011729677167040542,0.0072043844493832054,0.01956327286968662,0.016931277396182054,0.005490841561975657,0.0,0.015035048311321297,0.0,0.027323430528202408,0.03139382148963055,0.0053157586622631925,0.017712359449945758,0.03232733619625794,0.024063499558035772,0.0,0.023308564211053984,0.012217044526106946,0.007328139856944915,0.009395743044573024,0.01037798664719869,0.008082430488111747,0.0,0.009857985689763815,0.0029336544668989717,0.02737019244830652,0.022204659865941778,0.003937140340546819,0.04480455131000838,0.010188642995629493,0.017968568778417904,0.016265742676018213,0.0007584124883903698,0.011216994179653383,0.0,0.007291947872147375,0.00843134820011926,0.014161829655274794,0.007534040544089571,0.004448968025153377,0.012594382828825523,0.004484725540159218,0.02426540812640887,0.0,0.010181383153326173,0.0,0.004063731221425115,0.012836958177993019,0.008583239063943537,0.00012064275272294367,0.03840095110483155,0.023799648761985814,0.035494976882443297,0.005410247521545841,0.0005285134037755768,0.006906949560561593,0.0043797240665846005,0.028911906375016727,0.010151007444364701,0.02489580700587002,0.02144468129725574,0.01631258535862834,0.013343648291224142,0.012893611016098205,0.001638618101469369,0.029488255529504848,0.014243731790532621,0.06493605039740924,0.024858807891923185,0.03531607391579694,0.005860838448758621,0.0,0.010328872860462468,0.017183925424180124,0.006640500163661578,0.005699690350529529
mix,0.00509096598895642,0.021729319412985504,0.0,0.024547541805914896,0.035186365880109705,0.07690445397996992,0.030217174200632968,0.012746654035063365,0.07736168829273282,0.024814372233452175,0.026740745040242153,0.05893176730761951,0.057563589729487497,0.016903540331462352,0.011125096994761385,0.08425866643041502,0.08106609562996159,0.009187922123797598,0.03023698180288381,0.03696972773862317,0.04036860087179672,0.022324401258618565,0.0,0.044106894373061145,0.03584265893361138,0.05597296414267827,0.01570404037806039,0.02280822547196859,0.009850293791051179,0.03144188188218866,0.007022173530200959,0.007035553609124001,0.011985248806953841,0.01560147135135459,0.043343675204479126,0.0029533279790010525,0.0029983772968726896,0.040923721300361926,0.008180542446400096,0.013138797475432007,0.049911504119696914,0.04273446432765304,0.0166272620329746,0.07702595670419932,0.0023970364662462273,0.018828133539461334,0.06945863306260591,0.061847662465708275,0.05749123181800986,0.0050284963028337515,0.016951701898965332,0.039681550525506815,0.01481792210585553,0.02706869753522234,0.06527337641114705,0.03970510821040918,0.006923067785861825,0.00939580451660138,0.0,0.02260040261007923,0.0019946619353961026,0.0,0.027753092020925685,0.008202589811419969,0.00713856236298227,0.05287546359746198,0.0065073199797165415,0.04566456920728612,0.021443508109291187,0.022889223908715728,0.026993522444673346,0.018254188823407347,0.01476367752048624,0.07813029731594856,0.009903281095949623,0.03846115784990012,0.0,0.0728745666733559,0.021503886928186056,0.021341309430980004,0.04586137049062966,0.014515814513355707,0.021105847890282803,0.015459582390346505,0.012471917417646416,0.04464221477584207,0.0,0.025438443798983634,0.007966796204860849,0.0,0.03064745934878399,0.019864650358693225,0.035874836485009,0.003719856795730614,0.06103784471608886,0.013054837086675875,0.02486556846000454,0.012915176540077233,0.018293956492335894,0.021420464373877124,0.021234624295976445,0.0010427418203393657,0.04258496264124201,0.024961047544696413,0.06802739991213613,0.027419921479419962,0.015241099587732343,0.027505113847626994,0.027143095983583443,0.013000435885879291,0.0028818638777581285,0.013847270888105001,0.03338020281154641,0.0,0.03701269295640852,0.0674751836812355,0.0,0.03498464206424323,0.0030385267796715354,0.044648356513452114,0.04370713626583722,0.02406991595791297,0.0,0.010902506226401876,0.018300165465502616,0.014709180252821419,0.02235887772935108,0.013194569081314
