,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
size_m,0.013665311565996596,0.019206723651890023,0.008095335140703597,0.03958883938160529,0.0,0.10610391015419474,0.00792551041217493,0.0018579773468001548,0.07703838493593196,0.046256632645722995,0.07144127676644185,0.2598017104599615,0.06329665587676025,0.03372613453647322,0.030564945285716405,0.02736030446910931,0.1273047519627637,0.060600113920272314,0.03876060136411219,0.020981822189606092,0.02690512937594125,0.09848993748480162,0.014223782901983562,0.06424523788878744,0.018591756263854897,0.006164668128250561,0.16031760043175947,0.02514581265990401,0.002148764296533656,0.01619168375475688,0.1388319708941479,0.056551382112959736,0.08960034525141491,0.045576924886335135,0.09853837701438994,0.023895827407851122,0.01707719979670763,0.0,0.0,0.0270155184750962,0.22048278695085788,0.04370217326808756,0.002596940852740204,0.11437888663178164,0.03283977154967932,0.11034075746577976,0.07586486279715032,0.08607481760989177,0.02113785563204207,0.011287260515945086,0.04162360342195903,0.010861178327191467,0.015025046060275216,0.13952043825301708,0.13002896052646218,0.10416711066178408,0.06830154428518309,0.022104805870195143,0.008234491186990489,0.0017484967817731345,0.054259735147002,0.039465276858712706,0.07583296790387628,0.028778734145270768,0.029617435086179533,0.27245387932434983,0.016193291382618824,0.0836972278158381,0.06625320169420412,0.04657672598173512,0.15349307247651822,0.037790432730261614,0.20140087752053226,0.023956605860269597,0.1106135227367675,0.01875384198451613,0.02194309887907675,0.18836528408930153,0.04188581133756486,0.0020550771873777407,0.02788517997561435,0.0207607253344797,0.07556739544460367,0.11735797223454636,0.062192430848004854,0.13969930294358246,0.019333582847999686,0.14018456423257586,0.05329163238396539,0.021068484551419076,0.024137328399148394,0.010458726114729977,0.05729078441107838,0.037614803347445935,0.07037284278777634,0.0398064523700139,0.1716915785852775,0.029150405062571494,0.025218001556617686,0.0,0.038755668755575456,0.029420814318712907,0.012097235569101805,0.019600344945667203,0.14365040658469308,0.018770354005149592,0.019262074626055004,0.09679882736072631,0.015562846509626915,0.016884067634562072,0.11574040883217052,0.16368930422170713,0.13428964694677958,0.030041064199609835,0.0041125703312951956,0.10132124683895771,0.04913148664764844,0.04163591401150146,0.0,0.05546285207916046,0.07547829389724647,0.006631457378534655,0.05325125627644134,0.020824702573379206,0.02313457490289661,0.013298096586158437,0.005087639466589522,0.05306208497592113
hf_damp,0.012858293558567269,0.0,0.007568017789661319,0.02882246137495592,0.012069212093358317,0.0356864163662145,0.00137950291336697,0.00029509315370379596,0.06158177800229403,0.007645635771403647,0.01433463453107553,0.027672496253208223,0.054705934795652666,0.0,0.0,0.2682159498800081,0.0458044415004597,0.02620582644168401,0.010012692048707805,0.007976931866543246,0.0,0.0033863572054544377,0.003290764065564389,0.016870555063748682,0.03276262969793731,0.03438631468141651,0.00326540698201061,0.0010104535373933743,0.00650189145167257,0.016086198308181032,0.007187718505145213,0.010242459140742177,0.04690106970369712,0.03125458359157651,0.019727942438677815,0.006590515627300952,0.01514742389769097,0.00035492361312083887,0.00932886140387268,0.019876479095292332,0.0,0.0,0.004967764958806242,0.15111840848144187,0.0,0.020445719904043536,0.0,0.02502336493246471,0.06346175941499865,0.0069339389698823695,0.0,0.0454659225208367,0.0,0.011602050383872076,0.011538367745052902,0.0,0.014688318804753742,0.01052622254863067,0.0,0.0,0.0,0.006698142540112251,0.041428009178709146,0.0,0.004980477477877443,0.008107181580172984,0.006717637654281461,0.0257723378457122,0.003784503720346777,0.006707897558242415,0.0006093183976991767,0.017697846875813106,0.0026375384936550006,0.1460666260038348,0.009002479091233972,0.002702632556780493,0.0,0.12022181107379293,0.0009080232229585761,0.006064902504842706,0.02975214684886751,0.0,0.0022900263310212665,0.04195833047300823,0.0,0.0,0.005846692401301645,0.0,0.004354133917493286,0.0,0.004754106694541349,0.00892712328144718,0.02748171870530669,0.0,0.03700758128145587,0.004152199451351812,0.0,0.0,0.0020900948666566777,0.020690427800148292,0.004572906388504272,0.013257200397274183,0.036844136400451255,0.06667019796347162,0.06599426823383059,0.0061275601705848,0.0,0.004582510238821946,0.011976990308746771,0.0031210849137197627,0.0,0.011597155962948413,0.014088632341461071,0.0,0.00649706691684937,0.14342842598632277,0.006614816603121021,0.047353083838379106,0.0,0.0,0.05144171002453923,0.015904218207007048,0.0,0.01159920021548455,0.0,0.008022730890107965,0.0,0.005513893203873188
mix,0.0328378640959297,0.021348975736177778,0.011499864893578682,0.04367392791138425,0.033562384681705915,0.2341817782926654,0.07669420679091576,0.00011156803721945607,0.10797035243473996,0.03091892528168927,0.030586834963754583,0.3586182064967769,0.09960565656570441,0.12396894192939545,0.004389565828475384,0.22456917915559238,0.24739478297485906,0.07569758944361382,0.012878138698257047,0.019705561496338397,0.050121785439738,0.05619114998845731,0.0,0.13696924393766796,0.019792622639702273,0.2783010326426112,0.0430403149181986,0.054309907351902,0.12921448460771412,0.05513490591471193,0.12379526580524658,0.12028762421614303,0.07900148010429753,0.09103340277271865,0.05766764137811009,0.015948956378723622,0.027179257711945404,0.018052387155043093,0.0,0.04129754374117578,0.07878719193695982,0.015549494622414173,0.0018483943790634783,0.15864623211952633,0.01118549614992137,0.043084811505423204,0.15199936738207054,0.4057628395668855,0.03661910464740448,0.009192567126928175,0.0846714102057673,0.21043149202868072,0.023362232844534425,0.046929364068265755,0.13163306892099058,0.09018975929495987,0.03010530737868944,0.020793491369176742,0.015721171830597847,0.02051127922076823,0.12572542329107428,0.011967601539954131,0.020864703430660825,0.012448992094692635,0.040473169376666895,0.1704183259654659,0.10513655961598634,0.16932197614308997,0.10966096435704298,0.17808174560420476,0.29931013917775395,0.058226570630998786,0.07583423069240158,0.19054776399988693,0.06530228616319356,0.013586856346114118,0.08003295903768137,0.18764327240450118,0.12967248719507118,0.008451617734816175,0.07454341388498431,0.04252707081190188,0.0506574147065022,0.24586441829513817,0.18404289723423872,0.18394141245060158,0.04505097267495817,0.19777111773007938,0.03975562174067537,0.042405515319615894,0.013869355818334483,0.015405998531121234,0.0467401789598334,0.09824458807291325,0.04279711558519228,0.02559499003446586,0.12441614252405309,0.018655574187235402,0.05517165945547564,0.042746292614168624,0.026304413871707233,0.02169844282878053,0.04781647193384764,0.04372306918558344,0.17056465360194561,0.015265768088744913,0.018657531064078192,0.019559330554245413,0.09022825728430384,0.0042926327571208844,0.2648399597965829,0.3364512754198685,0.13975379507279317,0.03171440516556512,0.04334416253861839,0.08221323030559624,0.02684345443936831,0.08407147022321304,0.009044654982083955,0.08032134974096117,0.04741542016143807,0.056110621552757145,0.18772077655065722,0.09614208322357332,0.014181991461581944,0.008255449561462846,0.022680371704943525,0.02357947625473944
output_db,0.0,0.0,0.0,0.0018630734849409691,0.010153189998443501,0.0,0.003969523220776594,0.0,0.005784523957863108,0.009671623417800923,0.0,0.0,0.005068909117905918,0.005850064023556811,0.0,0.0,0.002135970301484491,0.0,0.0,0.0036399342328170547,0.0,0.0,0.023224934619392457,0.015900720902508603,0.0,0.0040521914802287284,0.00012311420678390306,0.0,0.01374568539108445,0.001830329440378975,0.0,0.0,0.0,0.0,0.006078793567303897,0.0,0.0,0.004684661707536009,0.0,0.008915343079786808,0.008510688776172337,0.0005262203235680829,0.0,0.0,0.0,0.0,0.002390647158150294,0.0,0.0037032166893107288,0.0,0.006763919160536425,0.0,0.0,0.0,0.0,0.0025644944100227107,0.009319788040888177,0.0,0.0005094738726469927,0.0,0.0,0.0,0.0,0.0,0.0026591261616237816,0.0057523517592148465,0.0,0.008828710026761222,0.01178283477826092,0.008009788939704166,0.0,0.0008083218569279182,0.0,0.0,0.005354383619161851,0.002300163430779989,0.00943451581373278,0.0,0.0,0.0,0.0,0.0,0.0,0.0038192796611742352,0.0,0.004973217574330668,0.0,0.0,0.004162167175564058,0.00023708898779783993,0.0,0.0037093254806173093,0.0,0.0,0.008712199870842596,0.0,0.005085729483450763,0.0,0.0,0.007652523425099034,0.004509709708925058,0.006795236707048069,0.0,0.009013050297287606,0.0,0.0,0.011869988004137966,0.0,0.0,0.003753631799068735,0.0,0.006720207883204488,0.0,0.003070629463662655,0.0,0.004624653403443979,0.0,0.0,0.0,0.0,0.0045847299356376325,0.007733730307257325,0.006619796076706486,0.001278496520645156,0.0,0.0006348105081048772,0.0,0.009719540780545266
