,PESQ,MRSTFT,MSD,SCE,CFE,LUFS,RMS
949,2.425689220428467,0.5311897,1.7387602,76.36865234375,0.2477264404296875,1.54342354590608,3.4500885009765625
950,2.8622138500213623,0.22533113,0.33570233,11.827392578125,0.08292388916015625,0.4003790541254695,0.9089126586914062
951,2.2337379455566406,0.37653866,1.4807731,189.09375,0.6937294006347656,0.5939501170423007,1.1502151489257812
952,2.4254682064056396,0.25650874,1.771005,49.48828125,1.1960029602050781,0.21173325129950626,0.4932861328125
953,1.9312307834625244,0.59553766,1.067338,16.826416015625,3.2528305053710938,2.015209784307725,4.66998291015625
954,1.4493213891983032,0.6943653,3.001754,436.68212890625,6.162727355957031,2.3282300018383353,6.480964660644531
955,1.5123164653778076,0.82846195,2.070517,143.7078857421875,3.3965415954589844,1.115731270407455,2.6177291870117188
956,2.887871026992798,0.42456424,1.489664,148.64208984375,1.6507835388183594,1.0395359811362113,2.9091873168945312
957,1.3240365982055664,1.3264202,4.904036,740.5176391601562,3.3987770080566406,1.720044563209452,5.500663757324219
958,2.317908525466919,0.40252233,2.2090836,116.2513427734375,2.8442344665527344,1.772277097114344,4.167137145996094
959,2.804516315460205,0.20068137,0.48427394,8.646484375,0.5040206909179688,0.3245312116195507,0.7332687377929688
960,2.780757427215576,0.2553769,1.3998836,153.9984130859375,0.7896842956542969,0.867915723934626,2.1480636596679688
961,2.0104010105133057,0.63811255,0.5452499,121.16162109375,0.8623924255371094,0.04355062128958309,0.0730743408203125
962,1.6518744230270386,0.6177693,1.4412699,251.2587890625,0.09852218627929688,0.38502537567339346,1.3413848876953125
963,2.2421934604644775,0.56049204,1.9785079,33.6966552734375,0.13414764404296875,0.6811774199099361,1.5376205444335938
964,3.863680362701416,0.1988638,0.71345985,17.290283203125,0.6285858154296875,0.6499277765624392,1.4761886596679688
965,1.7556939125061035,0.60817075,1.5305154,53.9781494140625,2.487316131591797,0.6189856631667325,1.316436767578125
966,2.7863640785217285,0.25160286,0.7433982,208.2298583984375,1.2158279418945312,0.6510043579336866,1.7930526733398438
967,3.3256170749664307,0.35140443,2.341799,17.3768310546875,0.4013862609863281,1.4088832104953788,3.1199798583984375
968,3.0900020599365234,0.22040226,0.8819906,0.3819580078125,0.10495758056640625,0.467905502190213,1.2571182250976562
969,2.6101675033569336,0.4920167,2.159563,13.9781494140625,0.5434494018554688,1.7137634681402467,3.9986648559570312
970,3.100644111633301,0.1984192,0.21229987,5.720458984375,0.5934829711914062,0.17866233944407384,0.372833251953125
971,1.395771861076355,0.78257424,1.7032682,630.6707763671875,1.2655525207519531,1.4454589273663814,3.6018524169921875
972,3.4717836380004883,0.37133133,1.2354089,32.2410888671875,0.124176025390625,1.0024429820952143,2.3224029541015625
973,1.2738261222839355,0.63552564,1.5225465,277.17724609375,0.680633544921875,0.34773610936739985,1.281585693359375
974,2.190012216567993,0.31725946,1.1155694,66.384765625,1.0514297485351562,0.11585769518518774,0.4573822021484375
975,2.7003068923950195,0.7814252,3.0007846,386.998046875,3.2451400756835938,1.2056617507223883,2.3076934814453125
976,3.3487911224365234,0.4023063,2.6719441,19.400146484375,1.6485481262207031,2.050915492032132,4.92987060546875
977,3.054464340209961,0.27804843,1.0337715,3.0374755859375,0.6828422546386719,0.5436176110284521,1.4963912963867188
978,3.030416250228882,1.0807573,6.4509315,103.60009765625,0.3435211181640625,6.458888568212874,14.873970031738281
979,3.6058619022369385,0.2165045,0.5402819,9.691650390625,1.1167678833007812,0.43627497977628593,0.9419784545898438
980,1.8023693561553955,0.7187247,1.4483582,46.74951171875,2.4554061889648438,1.5006958689663925,3.6524810791015625
981,1.1562988758087158,1.3615991,3.1727762,31.406494140625,3.6350555419921875,2.2985928783366845,5.27960205078125
982,2.2093112468719482,0.3196369,1.4640846,123.734619140625,1.9400291442871094,0.39421449635072037,0.6834335327148438
983,1.7151023149490356,0.7988715,1.4012632,25.973388671875,1.0980033874511719,1.060562712730448,2.154266357421875
984,3.0082147121429443,0.18761492,0.38149622,20.111083984375,0.3111305236816406,0.6402903649585028,1.4956893920898438
985,3.3020873069763184,0.26874578,0.80506825,53.8470458984375,0.69683837890625,0.22763842582988048,0.5046539306640625
986,1.1945796012878418,0.807208,3.2535884,71.1279296875,0.010715484619140625,2.1188114211196307,4.877754211425781
987,2.5075271129608154,0.41415334,0.849809,514.0872802734375,8.122627258300781,1.1754203992820464,3.4681320190429688
988,2.548548936843872,0.665301,4.3933287,39.237548828125,2.3616790771484375,3.3785451192435474,7.9972381591796875
989,2.3223392963409424,0.51498413,1.7892411,47.05908203125,1.5088768005371094,0.3539202787820024,0.6042022705078125
990,2.0008790493011475,0.3951769,1.4447708,154.89599609375,1.9042015075683594,0.7378705409901514,0.9704971313476562
991,3.5074141025543213,0.26688734,1.1609132,2.072265625,1.0066909790039062,1.1638602117684194,2.7233123779296875
