,PESQ,MRSTFT,MSD,SCE,CFE,LUFS,RMS
0,1.023620843887329,2.4584243,8.410222,3245.4443359375,4.9334564208984375,1.5481173460567597,0.4363861083984375
1,1.030638337135315,1.6694845,2.9979382,885.62548828125,1.7481231689453125,3.492265173608793,7.5874481201171875
2,1.0230202674865723,2.0903723,4.7053604,1917.9912109375,0.309722900390625,2.95254279865528,6.7103118896484375
3,2.4959752559661865,0.7884199,0.5445818,230.279296875,0.7643585205078125,0.40229158268422793,0.9158248901367188
4,1.0533641576766968,1.8027617,2.0283496,1600.93359375,1.9096221923828125,1.7263390392987112,3.9689254760742188
5,1.0306273698806763,2.3840272,12.063831,3513.695068359375,9.036857604980469,0.9146370876489449,5.443717956542969
6,1.0180929899215698,2.6486943,7.13424,3249.552734375,2.5590362548828125,5.233438745429851,5.783348083496094
7,1.0685118436813354,1.4032041,2.380634,534.419921875,3.4373550415039062,1.8758735316848352,4.375007629394531
8,1.3505630493164062,1.0734,1.2129259,522.810546875,2.7610702514648438,1.1559963377888458,2.622100830078125
9,1.091048240661621,1.4146239,1.6739595,1097.595703125,2.3096961975097656,1.3822999170340005,3.1954879760742188
10,1.0434058904647827,1.77912,4.479859,877.205078125,2.123729705810547,5.990609673072456,13.25201416015625
11,1.0197441577911377,2.470578,6.9383855,2951.975341796875,0.9314613342285156,4.083025079620331,4.977455139160156
12,1.0653451681137085,1.656392,3.5889869,559.13818359375,3.2234573364257812,4.7135117589746365,11.017166137695312
13,1.061826229095459,1.7139343,2.1844702,1683.095703125,3.897876739501953,0.9024029664372613,2.0984344482421875
14,1.0193017721176147,2.3819838,9.231908,3323.779296875,3.8465347290039062,3.189213674190416,1.4222259521484375
15,1.079365849494934,1.5250607,1.8115995,1251.54150390625,4.124122619628906,1.3381110823338531,3.0792465209960938
16,1.1081244945526123,1.1325055,1.5799661,302.63330078125,6.828056335449219,2.262455291795682,5.172355651855469
17,1.0220972299575806,2.7417758,6.185502,4352.9619140625,3.943756103515625,5.882807819312536,7.644111633300781
