,PESQ,MRSTFT
3916,4.643888473510742,0.0
3917,3.9448471069335938,0.07694089
3918,1.1261491775512695,1.0395298
3919,1.1833252906799316,0.77198595
3920,4.643888473510742,0.0
3921,3.005674362182617,0.5136711
3922,1.2710829973220825,0.9121802
3923,3.514611005783081,0.113591224
3924,1.7755874395370483,0.4965236
3925,1.2579679489135742,1.1547911
3926,1.5337584018707275,0.6367176
3927,1.1155273914337158,1.0174516
3928,4.480554103851318,0.027052736
3929,4.301944732666016,0.03357607
3930,1.617654800415039,1.2265298
3931,4.643888473510742,0.0
3932,1.1802849769592285,0.8384864
3933,1.2269961833953857,0.70098263
3934,1.1768831014633179,1.044619
3935,1.0629534721374512,1.3338542
3936,1.2073134183883667,0.31079695
3937,2.2714462280273438,0.36353484
3938,3.3700780868530273,0.14217626
3939,4.643888473510742,0.0
3940,1.1545426845550537,1.0992508
3941,1.0771782398223877,1.5024405
3942,1.1735966205596924,0.9427751
3943,1.2220841646194458,0.7660149
3944,2.26790714263916,0.47384235
3945,3.538527011871338,0.105487876
3946,4.6099982261657715,0.0069022197
3947,1.1683955192565918,0.74660856
3948,4.471519947052002,0.0624502
3949,4.394087791442871,0.041434184
3950,3.0270237922668457,0.1557085
3951,1.5365245342254639,0.5368981
3952,4.643888473510742,0.0
3953,1.7870211601257324,0.47036517
3954,4.643888473510742,0.0
3955,2.1949868202209473,0.32844812
3956,1.1579041481018066,1.114683
3957,1.3757553100585938,0.51175696
3958,3.3985838890075684,0.3562262
3959,1.264786958694458,0.70309764
3960,1.9309980869293213,0.44700763
3961,1.8731434345245361,0.3418298
3962,3.1032485961914062,0.192783
3963,1.367213487625122,0.6159567
3964,4.643888473510742,0.0
3965,1.1883635520935059,0.8715283
3966,1.935253620147705,0.3798739
3967,1.1452245712280273,0.94157535
3968,4.643888473510742,0.0
3969,1.0838795900344849,1.2308387
3970,4.643888473510742,0.0
3971,4.643888473510742,0.0
3972,4.350833415985107,0.11334058
3973,1.1141929626464844,1.5664362
3974,1.9235420227050781,0.36585352
3975,1.1385860443115234,1.0250545
3976,4.513339996337891,0.11682878
3977,2.309722900390625,0.47684368
3978,3.4782485961914062,0.18607162
3979,1.0584725141525269,1.31347
3980,2.004554033279419,0.48638532
3981,1.6258978843688965,0.2616358
3982,2.4506561756134033,0.36773482
3983,1.3796793222427368,0.45662463
3984,1.1595618724822998,0.8397153
3985,1.7625929117202759,0.6955382
3986,1.5618352890014648,0.5949423
3987,4.3559184074401855,0.0772334
3988,4.643888473510742,0.0
3989,2.4988186359405518,0.23573959
3990,3.515916585922241,0.09535986
3991,1.4756273031234741,0.5327618
3992,1.2482037544250488,0.6987374
3993,1.7878994941711426,0.50884634
3994,2.7581424713134766,0.1848404
3995,1.1620677709579468,0.8574832
3996,4.643888473510742,0.0
3997,4.643888473510742,0.0
3998,1.2011460065841675,1.1710752
3999,3.8788001537323,0.102974914
4000,1.114654541015625,0.93538505
4001,4.418857574462891,0.16334124
4002,1.5922586917877197,0.60779077
4003,1.1247376203536987,0.9887964
4004,2.4748661518096924,0.15194517
4005,1.2950935363769531,0.63043016
4006,4.643888473510742,0.0
4007,3.1117300987243652,0.15995507
4008,4.643888473510742,0.0
4009,2.400024652481079,0.35706222
4010,3.0416882038116455,0.62622595
4011,1.541786789894104,0.62823594
4012,1.9744558334350586,0.44230857
4013,1.8677113056182861,0.4125892
4014,1.822153091430664,0.3293563
4015,2.3016469478607178,0.3721607
4016,2.4382829666137695,0.26295093
4017,1.241113543510437,0.9163969
4018,1.4906238317489624,0.5942969
4019,1.0977498292922974,1.4910703
4020,3.5497970581054688,0.10975043
4021,1.116298794746399,1.0035114
4022,4.506890296936035,0.08318755
4023,3.249173164367676,0.13752264
4024,2.9008517265319824,0.3342258
4025,3.992436170578003,0.45432281
4026,4.499794960021973,0.039252404
4027,1.6392582654953003,0.53907603
4028,3.5443477630615234,0.3531749
4029,3.566272497177124,0.12566227
4030,1.0712741613388062,1.3243736
4031,3.9524052143096924,0.028778858
4032,1.5828160047531128,0.50258994
4033,4.072385311126709,0.14207216
4034,1.2438597679138184,0.8532412
4035,1.650869607925415,0.39196932
4036,3.552828550338745,0.26063073
4037,3.5092926025390625,0.15382901
4038,1.0782990455627441,1.0331577
4039,3.7783353328704834,0.09155021
4040,3.9352810382843018,0.026128858
4041,1.9394803047180176,0.65898365
4042,4.408858299255371,0.18503396
4043,1.3369828462600708,0.8262705
4044,2.6063954830169678,0.17514668
4045,1.197338581085205,0.73428273
4046,4.536567211151123,0.282304
4047,2.9693686962127686,0.30043572
4048,1.2851628065109253,0.881167
4049,1.3256866931915283,0.59361166
4050,1.334289312362671,0.39346012
4051,4.230215072631836,0.087762676
4052,4.266472339630127,0.16754133
4053,1.1855053901672363,1.1294099
4054,1.0858405828475952,1.2017627
4055,1.1899739503860474,0.89599705
4056,1.1507267951965332,0.7072592
4057,1.1157623529434204,1.1532393
4058,4.643888473510742,0.0
4059,3.37609601020813,0.22144936
4060,3.4028677940368652,0.30244082
4061,1.3428535461425781,1.1290488
4062,4.643888473510742,0.0
4063,2.0342023372650146,0.33689657
4064,2.60182785987854,0.3219721
4065,4.643888473510742,0.0
4066,1.0668628215789795,1.3793367
4067,4.63993501663208,0.1242586
4068,4.557136535644531,0.065011986
4069,3.1062939167022705,0.2147971
4070,1.65245521068573,0.4963716
4071,1.1897342205047607,1.3890697
4072,2.3292574882507324,0.16820544
4073,1.3420252799987793,0.54648936
4074,3.4658310413360596,0.36507773
4075,1.372873306274414,0.6970001
4076,3.4950780868530273,0.2405235
4077,1.781681776046753,0.59073085
4078,3.634463310241699,0.23686142
4079,4.538267135620117,0.046743583
4080,4.643888473510742,0.0
4081,4.221555233001709,0.068836294
4082,1.1891610622406006,0.8458678
4083,2.65990948677063,0.39622164
4084,1.1014729738235474,1.3967943
4085,1.3095495700836182,0.5551768
4086,1.761308193206787,0.35151958
4087,1.2717708349227905,0.5738217
4088,4.643888473510742,0.0
4089,2.188131332397461,0.3576837
4090,1.2883074283599854,0.75161576
4091,4.643888473510742,0.0
4092,1.1244652271270752,0.803863
4093,4.6422343254089355,0.025045266
4094,2.847930669784546,0.22954296
4095,4.643888473510742,0.0
4096,3.012572765350342,0.14423342
4097,3.947507858276367,0.06897516
4098,2.828101634979248,0.20439129
4099,1.155443787574768,0.8276519
