,PESQ,MRSTFT
0,1.0283538103103638,1.6149759
1,1.085050344467163,1.1188159
2,1.2454966306686401,2.667434
3,1.070875644683838,2.3174312
4,1.0929683446884155,1.6095704
5,1.09525728225708,2.1925943
6,1.0611542463302612,2.6300578
7,1.1723854541778564,2.5707724
8,1.112748146057129,2.1634834
9,1.1469992399215698,2.6012805
10,4.643888473510742,0.0
11,1.104347586631775,1.317243
12,1.0800793170928955,2.6135643
13,1.093798279762268,2.7267475
14,1.0359697341918945,1.377646
15,1.0812561511993408,1.2378422
16,1.062582015991211,2.6363966
17,1.1174824237823486,2.3542635
18,1.079268455505371,2.1504447
19,1.149749994277954,2.5470493
20,1.0502898693084717,2.2353058
21,1.0789365768432617,2.035101
22,4.643888473510742,0.0
23,1.068426489830017,1.7775793
24,1.096658706665039,2.1285706
25,1.0844409465789795,1.5339302
26,1.1059036254882812,2.4808583
27,4.643888473510742,0.0
28,1.064564824104309,1.5386677
29,1.1490243673324585,1.7321993
30,4.643888473510742,0.0
31,1.2025878429412842,2.1046066
32,1.203933596611023,2.2090313
33,1.097135305404663,2.930689
34,1.048285961151123,2.590474
35,1.135502576828003,2.1490567
36,1.0341848134994507,1.6630517
37,1.13349449634552,2.3115997
38,4.643888473510742,0.0
39,1.0767899751663208,1.8736283
40,1.124192714691162,2.1627102
41,1.279012680053711,1.8841352
42,1.0856530666351318,2.162701
43,1.1606310606002808,1.7565536
44,1.0771276950836182,1.6821884
45,1.102373719215393,1.558053
46,1.0945104360580444,1.5989761
47,1.1069953441619873,2.6050148
48,1.0450364351272583,2.407738
49,1.0906462669372559,1.8095821
50,1.056203842163086,1.4431852
51,4.643888473510742,0.0
52,1.3009486198425293,2.444233
53,1.0955671072006226,2.4163313
54,1.0724432468414307,2.1631064
55,1.057064175605774,1.4375548
56,1.0907238721847534,2.6482804
57,1.0632262229919434,1.2624983
58,1.0332921743392944,1.483749
59,1.0697169303894043,2.3409622
60,1.1581671237945557,2.6094255
61,1.106453537940979,2.1623967
62,4.643888473510742,0.0
63,1.058837652206421,2.6675618
64,1.1242663860321045,2.69399
65,1.1075255870819092,1.5766072
66,1.0664284229278564,2.696842
67,1.0778300762176514,2.2080243
68,1.0645297765731812,1.03519
69,1.1026787757873535,1.9290466
70,1.092329978942871,1.9854808
71,1.0563991069793701,2.3712533
72,4.643888473510742,0.0
73,4.643888473510742,0.0
74,4.643888473510742,0.0
75,1.1100001335144043,2.2441895
76,1.094775915145874,2.0747864
77,1.0575454235076904,1.4167093
78,4.643888473510742,0.0
79,1.044311285018921,1.1122388
80,1.1933391094207764,2.5105793
81,1.1414895057678223,1.6489948
82,1.145451545715332,0.9339323
83,1.0314935445785522,1.2382294
84,1.3125832080841064,2.0835066
85,1.1735507249832153,1.8592577
86,1.0967421531677246,2.1849458
87,1.0662866830825806,2.2928665
88,1.0290361642837524,1.4720364
89,1.1249696016311646,2.3064253
90,1.0341293811798096,1.1989485
91,1.041766881942749,1.3094441
92,1.0936460494995117,2.2351608
93,1.1418099403381348,2.9797351
94,4.643888473510742,0.0
95,1.1788924932479858,2.6882088
